portfolio_rank,rank,ticker,name,sector,industry,country,theme,price,market_cap_bil,dollar_volume_mil,revenue_growth_1y,revenue_growth_2y,revenue_growth_3y,gross_margin,fcf_growth,debt_ratio,rsi,gap50,dist_high,above200,acceleration_score,transition_score,persistence_score,upside_score,entry_score,entry_grade,risk_penalty,acceleration_final,transition_final,persistence_final,total_score,best_type
1,1,RELY,"Remitly Global, Inc. - Common stock",Technology,Software - Infrastructure,United States,ソフトウェア,22.530000686645508,4.74394112,70.73181065568924,0.29366682410798417,0.33853974170933565,0.4448329151110839,0.6020504578487439,2.0168274863143543,0.13170651115058274,36.842108371108786,0.03738836616020129,0.10701541437093101,True,39,66,97,85,90,S,0,51.0,71.25,92.6,92.6,Persistence
2,2,S,"SentinelOne, Inc. Class A Common Stock",Technology,Software - Infrastructure,United States,ソフトウェア,18.139999389648438,6.218459136,139.93032269180298,0.21889901042167553,0.3224755857645608,0.4713048256782076,0.741153805436652,3.0,0.0061527368420189145,49.936141608510425,0.061228284013696344,0.08935746384679089,True,39,31,97,85,85,S,0,50.5,44.5,91.6,91.6,Persistence
3,3,FROG,JFrog Ltd. - Ordinary shares,Technology,Software - Application,United States,ソフトウェア,80.16000366210938,9.708957696,286.42211388519286,0.24120162058213998,0.22465031467392235,0.24941436937580347,0.7678756768953069,0.31998218609959084,0.009285980004130084,25.887096823812414,-0.026000019986651992,0.18287456769680085,True,50,24,100,85,73,A,0,57.55,38.05,90.85,90.85,Persistence
4,2,DAVE,Dave Inc.  - Class A Common Stock,Technology,Software - Application,United States,ソフトウェア,402.80999755859375,5.12142592,215.15491804595948,0.5967165692816558,0.3395807682955541,0.2648678467862408,0.8668668415791202,1.4090920688921964,0.15429056784936132,52.25720870425802,0.24309800826196062,0.08975662967543291,True,85,64,100,85,70,A,0,83.5,67.75,90.25,90.25,Persistence
5,1,WDC,Western Digital Corporation - Common Stock,Technology,Computer Hardware,United States,その他,519.7999877929688,179.165773824,4261.69195691803,0.5070444831407314,0.00991207034372502,-0.6671633054860853,0.3878151260504202,2.63764404609475,0.3364519354377946,41.92798620301204,-0.06982541715766112,0.30343191590017266,True,74,100,30,25,73,A,0,66.55,86.05,37.35,86.05,Transition
6,1,LB,LandBridge Company LLC Class A Shares Representing Limited Liability Company Interests,Energy,Oil & Gas Equipment & Services,United States,電力/エネルギー,76.33000183105469,5.878708224,25.515974662094116,0.8106935627626098,0.5090098126672614,0.4072850879734245,0.9322125840687517,0.8309852815411621,0.41014790023249414,54.60993396214813,0.058906273606093754,0.10343707102926451,True,86,64,82,85,85,S,0,85.75,69.25,83.35,85.75,Acceleration
7,2,CNX,CNX Resources Corporation Common Stock,Energy,Oil & Gas E&P,United States,電力/エネルギー,34.290000915527344,4.851267072,65.8260004075241,0.48866481238417975,-0.044549676823147644,-0.6162289496064445,0.47234760951479904,0.9385544224478757,0.28642239450319457,57.62143769968051,0.013693310445104667,0.19525931883706615,False,71,85,34,85,90,S,0,75.0,85.5,57.95,85.5,Transition
8,3,CRK,"Comstock Resources, Inc. Common Stock",Energy,Oil & Gas E&P,United States,電力/エネルギー,13.520000457763672,3.970767872,35.24995359350204,0.5382751798848099,-0.19904620061605932,-0.56860958909962,0.22907707154973342,0.05756788873729149,0.4149298236550497,42.55814861258167,-0.01171032335861236,0.5060284967772638,False,60,87,2,85,65,A,0,64.25,84.5,35.35,84.5,Transition
9,3,FA,First Advantage Corporation - Common Stock,Industrials,Specialty Business Services,United States,その他,19.639999389648438,3.368987392,38.88248519165039,0.8302486035305537,0.12627510438474862,-0.057111958549325145,0.45673782019564413,3.0,0.544924333598866,46.52114437796625,0.11811352188405147,0.12125283872783006,True,82,75,38,85,70,A,0,81.25,76.0,56.150000000000006,81.25,Acceleration
10,4,BKV,BKV Corporation Common Stock,Energy,Oil & Gas E&P,United States,電力/エネルギー,25.540000915527344,2.793734144,21.457176369171144,0.5135772697791228,-0.2004795695518015,-0.5551326538663782,0.8238226142645682,-19.701282487799343,0.1555343679136737,36.34722810483576,-0.03281019432655574,0.20584573890840588,False,73,75,25,100,80,S,0,77.75,79.25,54.75,79.25,Transition
