rank,ticker,name,sector,industry,country,theme,price,market_cap_bil,dollar_volume_mil,revenue_growth_1y,revenue_growth_2y,revenue_growth_3y,gross_margin,fcf_growth,debt_ratio,rsi,gap50,dist_high,above200,acceleration_score,transition_score,persistence_score,upside_score,entry_score,entry_grade,risk_penalty,acceleration_final,transition_final,persistence_final,total_score,best_type
1,WDC,Western Digital Corporation - Common Stock,Technology,Computer Hardware,United States,その他,539.0,185.783681024,5762.54602,0.5070444831407314,0.00991207034372502,-0.6671633054860853,0.3878151260504202,2.63764404609475,0.3364519354377946,50.78540989629602,0.017847691388607985,0.27770256608904526,True,74,100,30,25,83,S,0,67.55,87.05,39.35,87.05,Transition
2,DEC,Diversified Energy Company Common Stock,Energy,Oil & Gas Integrated,United States,電力/エネルギー,14.300000190734863,1.00151296,19.00949075355053,1.0273928999636406,-0.08456299005832328,-0.5476257835338961,0.2855773198755162,0.6613408484129338,0.49079885277240454,56.70588847757487,-0.02235306425830176,0.2029937226595513,True,74,87,30,100,100,S,-5,75.5,85.25,56.5,85.25,Transition
3,TE,T1 Energy Inc. Common Stock,Industrials,Electrical Equipment & Parts,United States,電力/エネルギー,8.5600004196167,2.390563328,309.48715757125854,3.0,,,0.0735884654340357,1.1084563968056649,0.39983951700595,50.653121810415016,0.08778534138322268,0.28903650774602957,True,47,83,26,100,68,A,0,57.05,84.05,52.9,84.05,Transition
4,CNX,CNX Resources Corporation Common Stock,Energy,Oil & Gas E&P,United States,電力/エネルギー,33.84000015258789,4.78760192,71.20325192106247,0.48866481238417975,-0.044549676823147644,-0.6162289496064445,0.47234760951479904,0.9385544224478757,0.28642239450319457,65.87153099314264,-0.0376849829361259,0.20582023778786596,False,71,85,34,85,70,A,0,73.0,83.5,53.95,83.5,Transition
5,CRK,"Comstock Resources, Inc. Common Stock",Energy,Oil & Gas E&P,United States,電力/エネルギー,14.680000305175781,4.311455232,40.39091983966827,0.5382751798848099,-0.19904620061605932,-0.56860958909962,0.22907707154973342,0.05756788873729149,0.4149298236550497,70.79889510426311,0.007287065609474948,0.46364633339240513,False,60,87,2,85,30,D,0,60.75,81.0,28.35,81.0,Transition
6,EXE,Expand Energy Corporation - Common Stock,Energy,Oil & Gas E&P,United States,電力/エネルギー,90.72000122070312,21.702842368,359.4076968360901,1.8877043354655294,-0.45710610932475887,-0.3205453115441755,0.5084912626138322,3.0,0.17888075794534591,63.150290291923646,-0.02929048537239041,0.2532588144471067,False,73,87,46,65,53,B,0,69.8,80.3,52.15,80.3,Transition
7,LASR,"nLIGHT, Inc. - Common Stock",Technology,Semiconductors,United States,半導体,63.25,3.567850752,81.67946875,0.3162056530410782,-0.05417752392566728,-0.13276570078245709,0.29833161137259406,2.1950247789330484,0.1148662796231084,37.25202023330467,-0.10826445524934689,0.255444352298958,True,66,81,30,85,63,B,0,68.55,79.8,50.35,79.8,Transition
8,PARR,"Par Pacific Holdings, Inc.  Common Stock",Energy,Oil & Gas Refining & Marketing,United States,電力/エネルギー,58.4900016784668,2.932938752,50.5169370996666,-0.06392999548433204,-0.03128029732912777,0.12430985067165999,0.16216473645783794,3.0,0.32002595933055605,60.000009812733786,-0.003835434233258565,0.154768724596706,True,18,74,26,100,80,S,0,36.5,78.5,55.3,78.5,Transition
9,ALAB,"Astera Labs, Inc. - Common Stock",Technology,Semiconductors,United States,半導体,406.4200134277344,69.663612928,2695.590899559784,1.151265487395594,2.422370761870218,0.44974459134615385,0.756882202867951,1.7507492848844588,0.0027065790238167205,55.57368157652713,0.336599294499332,0.1585855188775,True,62,87,83,40,70,A,0,59.5,78.25,69.65,78.25,Transition
10,BKV,BKV Corporation Common Stock,Energy,Oil & Gas E&P,United States,電力/エネルギー,27.350000381469727,2.991723776,25.125624850444794,0.5135772697791228,-0.2004795695518015,-0.5551326538663782,0.8238226142645682,-19.701282487799343,0.1555343679136737,75.17985154935965,-0.006271198130494769,0.14956466072027796,True,73,75,25,100,65,A,0,76.25,77.75,51.75,77.75,Transition
