rank,ticker,name,sector,industry,country,theme,price,market_cap_bil,dollar_volume_mil,revenue_growth_1y,revenue_growth_2y,revenue_growth_3y,gross_margin,fcf_growth,debt_ratio,rsi,gap50,dist_high,above200,acceleration_score,transition_score,persistence_score,upside_score,entry_score,entry_grade,risk_penalty,acceleration_final,transition_final,persistence_final,total_score,best_type
1,INVX,"Innovex International, Inc. Common Stock",Energy,Oil & Gas Equipment & Services,United States,電力/エネルギー,28.799999237060547,2.010827264,26.198927305965423,0.4803973347578628,0.18948084652922656,0.18910976071782512,0.3100226833399608,0.9510301208591646,0.06251404431261516,40.54833105625825,0.0047586231058376,0.08947202019582555,True,57,20,89,100,100,S,0,67.75,40.0,93.95,93.95,Persistence
2,FLYW,Flywire Corporation - Voting Common Stock,Technology,Software - Infrastructure,United States,ソフトウェア,17.34000015258789,2.109717504,23.420878106098176,0.2659404564517702,0.22091621309173542,0.3929814254859611,0.6142048874443241,-0.022817760851689965,0.001073953593396063,30.614951989865546,-0.030114542151028094,0.11258959364690899,True,42,24,92,100,90,S,0,55.5,42.0,93.6,93.6,Persistence
3,AVPT,"AvePoint, Inc. - Class A Common Stock",Technology,Software - Infrastructure,United States,ソフトウェア,13.1899995803833,2.790547968,22.195801543879508,0.26934901144389106,0.21578957049572337,0.16994994383207296,0.7406393847870187,-0.05539999291106937,0.012606740405559688,37.76434566569484,0.002957898010169368,0.16253970918201266,True,57,47,92,100,90,S,0,66.75,59.25,93.6,93.6,Persistence
4,DAVE,Dave Inc.  - Class A Common Stock,Technology,Software - Application,United States,ソフトウェア,337.82000732421875,4.309065216,111.00765440673828,0.5967165692816558,0.3395807682955541,0.2648678467862408,0.8668668415791202,1.4090920688921964,0.15429056784936132,39.229429359246915,-0.09953852814383987,0.23661670789306236,True,85,64,100,85,80,S,0,84.5,68.75,92.25,92.25,Persistence
5,FROG,JFrog Ltd. - Ordinary shares,Technology,Software - Application,United States,ソフトウェア,92.80999755859375,11.44359424,178.3065673095703,0.24120162058213998,0.22465031467392235,0.24941436937580347,0.7678756768953069,0.31998218609959084,0.009285980004130084,40.24350290301031,0.04558504715445724,0.10785351679669566,True,50,24,100,65,100,S,0,57.25,37.75,91.25,91.25,Persistence
6,IOT,Samsara Inc. Class A Common Stock,Technology,Software - Infrastructure,United States,ソフトウェア,39.54999923706055,23.160684544,309.111917787075,0.2957383091084767,0.3326424041349072,0.43650629458504775,0.767366330272112,0.8607847006691663,0.02864121882618549,45.39736761864713,0.025163792460278948,0.12538703738571938,True,43,49,100,65,100,S,0,52.0,56.5,91.25,91.25,Persistence
7,APPF,"AppFolio, Inc. - Class A Common Stock",Technology,Software - Application,United States,ソフトウェア,214.6300048828125,7.601549312,70.3836175012207,0.1972042377128237,0.2800522205836134,0.31482804000144105,0.6367974237028592,0.3013543456758743,0.05538726818555896,33.57591928136816,0.07030461886621835,0.2473875783887001,True,22,14,97,85,75,A,0,36.75,30.75,89.6,89.6,Persistence
8,DUOL,"Duolingo, Inc. - Class A Common Stock",Technology,Software - Application,United States,ソフトウェア,141.89999389648438,6.638971392,159.89858912231446,0.38710656342577243,0.40841898743948984,0.43739157498748293,0.7223062310799363,0.36331622366883154,0.04707351035196584,45.96312816673688,0.019880063203545704,0.591384230179194,True,34,39,97,85,75,A,0,45.75,49.5,89.6,89.6,Persistence
9,S,"SentinelOne, Inc. Class A Common Stock",Technology,Software - Infrastructure,United States,ソフトウェア,22.510000228881836,7.8345856,213.274148568573,0.21889901042167553,0.3224755857645608,0.4713048256782076,0.741153805436652,3.0,0.0061527368420189145,55.50510665244995,0.09605985559717928,0.05578858704670268,True,39,31,97,85,72,A,0,49.2,43.2,89.0,89.0,Persistence
10,ALKT,"Alkami Technology, Inc. - Common Stock",Technology,Software - Application,United States,ソフトウェア,19.1299991607666,2.045800064,28.864299233722686,0.32886125164370716,0.26061148430508513,0.2964752533411661,0.578395948056866,2.185347235151741,0.43500148130312183,42.44105207353425,0.003483041385739659,0.25506234682906265,True,55,20,85,100,83,S,0,64.55,38.3,88.35,88.35,Persistence
