portfolio_rank,rank,ticker,name,sector,industry,country,theme,price,market_cap_bil,dollar_volume_mil,revenue_growth_1y,revenue_growth_2y,revenue_growth_3y,gross_margin,fcf_growth,debt_ratio,rsi,gap50,dist_high,above200,acceleration_score,transition_score,persistence_score,upside_score,entry_score,entry_grade,risk_penalty,acceleration_final,transition_final,persistence_final,total_score,best_type
1,1,ZETA,Zeta Global Holdings Corp. Class A Common Stock,Technology,Software - Infrastructure,United States,ソフトウェア,20.700000762939453,5.159632896,182.48199522573472,0.2972038888237084,0.3801595393585766,0.2331152140327365,0.6063465954557021,0.791582513518796,0.13108071437502827,53.738325566160604,0.07551467820852445,0.1801979895865563,True,36,49,97,85,85,S,0,48.25,58.0,91.6,91.6,Persistence
2,2,YOU,"Clear Secure, Inc. Class A Common Stock",Technology,Software - Application,United States,ソフトウェア,53.790000915527344,7.189640704,87.7820540940857,0.1691019198222425,0.2557274613374969,0.4026778896930737,0.6442368216843422,0.21091229927651314,0.0861774508359726,60.94118660792129,-0.030977131454323868,0.13498841404242717,True,25,21,97,85,80,S,0,39.5,36.5,90.6,90.6,Persistence
3,3,AROC,"Archrock, Inc. Common Stock",Energy,Oil & Gas Equipment & Services,United States,電力/エネルギー,36.790000915527344,6.44787456,86.13808469356538,0.28699860313357656,0.16888594488542788,0.17120917537087496,0.4857183897630449,0.6956306070097366,0.5566667678322784,52.50696793210477,-0.008261235760097413,0.12300356981091377,True,50,43,85,85,100,S,0,60.25,55.0,88.0,88.0,Persistence
4,1,WDC,Western Digital Corporation - Common Stock,Technology,Computer Hardware,United States,その他,539.0,185.783681024,5762.54602,0.5070444831407314,0.00991207034372502,-0.6671633054860853,0.3878151260504202,2.63764404609475,0.3364519354377946,50.78540989629602,0.017847691388607985,0.27770256608904526,True,74,100,30,25,83,S,0,67.55,87.05,39.35,87.05,Transition
5,1,LB,LandBridge Company LLC Class A Shares Representing Limited Liability Company Interests,Energy,Oil & Gas Equipment & Services,United States,電力/エネルギー,73.75,5.680004096,31.03215625,0.8106935627626098,0.5090098126672614,0.4072850879734245,0.9322125840687517,0.8309852815411621,0.41014790023249414,57.69230840661707,0.06822199383482211,0.13374145911928495,True,86,64,82,85,85,S,0,85.75,69.25,83.35,85.75,Acceleration
6,4,DEC,Diversified Energy Company Common Stock,Energy,Oil & Gas Integrated,United States,電力/エネルギー,14.300000190734863,1.00151296,19.00949075355053,1.0273928999636406,-0.08456299005832328,-0.5476257835338961,0.2855773198755162,0.6613408484129338,0.49079885277240454,56.70588847757487,-0.02235306425830176,0.2029937226595513,True,74,87,30,100,100,S,-5,75.5,85.25,56.5,85.25,Transition
7,3,TE,T1 Energy Inc. Common Stock,Industrials,Electrical Equipment & Parts,United States,電力/エネルギー,8.5600004196167,2.390563328,309.48715757125854,3.0,,,0.0735884654340357,1.1084563968056649,0.39983951700595,50.653121810415016,0.08778534138322268,0.28903650774602957,True,47,83,26,100,68,A,0,57.05,84.05,52.9,84.05,Transition
8,2,DAVE,Dave Inc.  - Class A Common Stock,Technology,Software - Application,United States,ソフトウェア,387.3599853515625,4.924990464,248.4158954058838,0.5967165692816558,0.3395807682955541,0.2648678467862408,0.8668668415791202,1.4090920688921964,0.15429056784936132,82.22980760397746,0.3841245398861634,0.0,True,85,64,100,85,10,D,0,77.5,61.75,78.25,78.25,Persistence
9,3,BKV,BKV Corporation Common Stock,Energy,Oil & Gas E&P,United States,電力/エネルギー,27.350000381469727,2.991723776,25.125624850444794,0.5135772697791228,-0.2004795695518015,-0.5551326538663782,0.8238226142645682,-19.701282487799343,0.1555343679136737,75.17985154935965,-0.006271198130494769,0.14956466072027796,True,73,75,25,100,65,A,0,76.25,77.75,51.75,77.75,Transition
