portfolio_rank,rank,ticker,name,sector,industry,country,theme,price,market_cap_bil,dollar_volume_mil,revenue_growth_1y,revenue_growth_2y,revenue_growth_3y,gross_margin,fcf_growth,debt_ratio,rsi,gap50,dist_high,above200,acceleration_score,transition_score,persistence_score,upside_score,entry_score,entry_grade,risk_penalty,acceleration_final,transition_final,persistence_final,total_score,best_type
1,1,YOU,"Clear Secure, Inc. Class A Common Stock",Technology,Software - Application,United States,ソフトウェア,55.220001220703125,7.380776448,86.92843032165527,0.1691019198222425,0.2557274613374969,0.4026778896930737,0.6442368216843422,0.21091229927651314,0.0861774508359726,64.99602901113121,-0.007426914593909917,0.11199219149462564,True,25,21,97,85,80,S,0,39.5,36.5,90.6,90.6,Persistence
2,2,MDB,"MongoDB, Inc. - Class A Common Stock",Technology,Software - Infrastructure,United States,ソフトウェア,342.0799865722656,27.51415296,534.3614366246032,0.22794268264784995,0.19217462036790015,0.3107153982741971,0.7174856532417241,3.0,0.008741774075461417,53.12604231233368,0.048222229433799634,0.22360421735469396,True,57,42,97,65,100,S,0,62.5,51.25,89.6,89.6,Persistence
3,3,DT,"Dynatrace, Inc. Common Stock",Technology,Software - Application,United States,ソフトウェア,43.68000030517578,12.731660288,253.65544017219543,0.18820698152627655,0.18745010590480451,0.23478028190897085,0.8155933426047631,0.22959149313659238,0.037213368133205756,58.49624668293506,0.06329115259356886,0.20160846214357403,True,46,14,100,65,85,S,0,52.75,28.75,88.25,88.25,Persistence
4,1,WDC,Western Digital Corporation - Common Stock,Technology,Computer Hardware,United States,その他,582.5900268554688,200.806662144,6204.018673684693,0.5070444831407314,0.00991207034372502,-0.6671633054860853,0.3878151260504202,2.63764404609475,0.3364519354377946,34.72139892119421,0.0666038048491079,0.2192889027461609,True,74,100,30,25,75,A,0,66.75,86.25,37.75,86.25,Transition
5,2,CNX,CNX Resources Corporation Common Stock,Energy,Oil & Gas E&P,United States,電力/エネルギー,31.989999771118164,4.525868544,70.25627754733085,0.48866481238417975,-0.044549676823147644,-0.6162289496064445,0.47234760951479904,0.9385544224478757,0.28642239450319457,43.06124029830935,-0.07516089615341828,0.249237284372472,False,71,85,34,85,80,S,0,74.0,84.5,55.95,84.5,Transition
6,3,GPOR,Gulfport Energy Corporation Common Shares,Energy,Oil & Gas E&P,United States,電力/エネルギー,152.10000610351562,2.733182464,85.511383931427,0.42528677455621555,-0.11677856689712503,-0.5489289570926427,0.7065386652482345,0.40671140939597317,0.2603520666503826,39.82027880058379,-0.11644352598303058,0.3163737590532405,False,71,85,38,100,53,B,0,73.55,84.05,56.50000000000001,84.05,Transition
7,1,LB,LandBridge Company LLC Class A Shares Representing Limited Liability Company Interests,Energy,Oil & Gas Equipment & Services,United States,電力/エネルギー,76.69000244140625,5.90643456,32.61395733825684,0.8106935627626098,0.5090098126672614,0.4072850879734245,0.9322125840687517,0.8309852815411621,0.41014790023249414,66.20041389283666,0.09711064258396182,0.09920854759279926,True,86,64,82,85,65,A,0,83.75,67.25,79.35,83.75,Acceleration
8,3,BKV,BKV Corporation Common Stock,Energy,Oil & Gas E&P,United States,電力/エネルギー,25.299999237060547,2.767481088,24.087749773616792,0.5135772697791228,-0.2004795695518015,-0.5551326538663782,0.8238226142645682,-19.701282487799343,0.1555343679136737,56.68448670602851,-0.07175041974042434,0.21330847770210987,False,73,75,25,100,80,S,0,77.75,79.25,54.75,79.25,Transition
9,2,AMBA,"Ambarella, Inc. - Ordinary Shares",Technology,Semiconductor Equipment & Materials,United States,半導体,77.30000305175781,3.391010816,136.55470689109802,0.3715338844715918,0.2578265054708267,-0.32917661415970095,0.5919242798859489,1.4730334683436368,0.016823190583521164,55.66723656107811,0.03571824228798777,0.19066064995474366,True,74,68,46,85,100,S,0,78.25,73.75,66.55,78.25,Acceleration
10,4,DAVE,Dave Inc.  - Class A Common Stock,Technology,Software - Application,United States,ソフトウェア,400.75,5.09523456,250.82341375,0.5967165692816558,0.3395807682955541,0.2648678467862408,0.8668668415791202,1.4090920688921964,0.15429056784936132,81.34670163172747,0.37710518006257276,0.0,True,85,64,100,85,10,D,0,77.5,61.75,78.25,78.25,Persistence
