portfolio_rank,rank,ticker,name,sector,industry,country,theme,price,market_cap_bil,dollar_volume_mil,revenue_growth_1y,revenue_growth_2y,revenue_growth_3y,gross_margin,fcf_growth,debt_ratio,rsi,gap50,dist_high,above200,acceleration_score,transition_score,persistence_score,upside_score,entry_score,entry_grade,risk_penalty,acceleration_final,transition_final,persistence_final,total_score,best_type,snapshot_date
4,1,WDC,Western Digital Corporation - Common Stock,Technology,Computer Hardware,United States,その他,582.5900268554688,200.806662144,6204.018673684693,0.5070444831407314,0.009912070343725,-0.6671633054860853,0.3878151260504202,2.63764404609475,0.3364519354377946,34.72139892119421,0.0666038048491079,0.2192889027461609,True,74,100,30,25,75,A,0,66.75,86.25,37.75,86.25,Transition,2026-07-12
5,2,CNX,CNX Resources Corporation Common Stock,Energy,Oil & Gas E&P,United States,電力/エネルギー,31.989999771118164,4.525868544,70.25627754733085,0.4886648123841797,-0.0445496768231476,-0.6162289496064445,0.472347609514799,0.9385544224478756,0.2864223945031945,43.06124029830935,-0.0751608961534182,0.249237284372472,False,71,85,34,85,80,S,0,74.0,84.5,55.95,84.5,Transition,2026-07-12
6,3,GPOR,Gulfport Energy Corporation Common Shares,Energy,Oil & Gas E&P,United States,電力/エネルギー,152.10000610351562,2.733182464,85.511383931427,0.4252867745562155,-0.116778566897125,-0.5489289570926427,0.7065386652482345,0.4067114093959731,0.2603520666503826,39.82027880058379,-0.1164435259830305,0.3163737590532405,False,71,85,38,100,53,B,0,73.55,84.05,56.50000000000001,84.05,Transition,2026-07-12
7,1,LB,LandBridge Company LLC Class A Shares Representing Limited Liability Company Interests,Energy,Oil & Gas Equipment & Services,United States,電力/エネルギー,76.69000244140625,5.90643456,32.61395733825684,0.8106935627626098,0.5090098126672614,0.4072850879734245,0.9322125840687516,0.8309852815411621,0.4101479002324941,66.20041389283666,0.0971106425839618,0.0992085475927992,True,86,64,82,85,65,A,0,83.75,67.25,79.35,83.75,Acceleration,2026-07-12
8,3,BKV,BKV Corporation Common Stock,Energy,Oil & Gas E&P,United States,電力/エネルギー,25.299999237060547,2.767481088,24.087749773616792,0.5135772697791228,-0.2004795695518015,-0.5551326538663782,0.8238226142645682,-19.701282487799343,0.1555343679136737,56.68448670602851,-0.0717504197404243,0.2133084777021098,False,73,75,25,100,80,S,0,77.75,79.25,54.75,79.25,Transition,2026-07-12
9,2,AMBA,"Ambarella, Inc. - Ordinary Shares",Technology,Semiconductor Equipment & Materials,United States,半導体,77.30000305175781,3.391010816,136.55470689109802,0.3715338844715918,0.2578265054708267,-0.3291766141597009,0.5919242798859489,1.4730334683436368,0.0168231905835211,55.66723656107811,0.0357182422879877,0.1906606499547436,True,74,68,46,85,100,S,0,78.25,73.75,66.55,78.25,Acceleration,2026-07-12
10,4,DAVE,Dave Inc.  - Class A Common Stock,Technology,Software - Application,United States,ソフトウェア,400.75,5.09523456,250.82341375,0.5967165692816558,0.3395807682955541,0.2648678467862408,0.8668668415791202,1.4090920688921964,0.1542905678493613,81.34670163172747,0.3771051800625727,0.0,True,85,64,100,85,10,D,0,77.5,61.75,78.25,78.25,Persistence,2026-07-12
1,1,FLYW,Flywire Corporation - Voting Common Stock,Technology,Software - Infrastructure,United States,ソフトウェア,18.1299991607666,2.237565952,44.34072024747849,0.2659404564517702,0.2209162130917354,0.3929814254859611,0.6142048874443241,-0.0228177608516899,0.001073953593396,55.07743469960917,0.1018864632668587,0.0346113685896254,True,42,24,92,100,57,B,0,52.2,38.7,87.0,87.0,Persistence,2026-07-19
2,2,FROG,JFrog Ltd. - Ordinary shares,Technology,Software - Application,United States,ソフトウェア,88.54000091552734,10.723940352,314.70082415409087,0.2412016205821399,0.2246503146739223,0.2494143693758034,0.7678756768953069,0.3199821860995908,0.00928598000413,51.43712496884852,0.1026563957890546,0.0974515566492663,True,50,24,100,65,70,A,0,54.25,34.75,85.25,85.25,Persistence,2026-07-19
3,4,LASR,"nLIGHT, Inc. - Common Stock",Technology,Semiconductors,United States,半導体,69.25,3.906302976,99.69680125,0.3162056530410782,-0.0541775239256672,-0.132765700782457,0.298331611372594,2.1950247789330484,0.1148662796231084,56.87849132479524,-0.0161353871942435,0.1848145675368038,True,66,81,30,85,100,S,0,72.25,83.5,57.75,83.5,Transition,2026-07-19
4,3,AGYS,"Agilysys, Inc. - Common Stock",Technology,Software - Application,United States,ソフトウェア,106.68000030517578,3.00820352,41.40517511844635,0.1585057904971991,0.1606980426506754,0.1989195466134854,0.6261055018289322,0.3019199541503486,0.0395491020252197,55.82717483920904,0.1861926699881918,0.2440475907288148,True,28,33,87,85,70,A,0,40.75,44.5,83.1,83.1,Persistence,2026-07-19
5,2,EXE,Expand Energy Corporation - Common Stock,Energy,Oil & Gas E&P,United States,電力/エネルギー,88.12999725341797,21.0832384,388.3258849477768,1.8877043354655287,-0.4571061093247588,-0.3205453115441755,0.5084912626138322,3.0,0.1788807579453459,48.85751451147561,-0.0370976998545461,0.2745778467122412,False,73,87,46,65,73,A,0,71.8,82.3,56.15,82.3,Transition,2026-07-19
6,1,DAVE,Dave Inc.  - Class A Common Stock,Technology,Software - Application,United States,ソフトウェア,440.4200134277344,5.599608832,257.90775776321414,0.5967165692816558,0.3395807682955541,0.2648678467862408,0.8668668415791202,1.4090920688921964,0.1542905678493613,78.78712870338688,0.4361590882297584,0.0047680052366682,True,85,64,100,85,10,D,0,77.5,61.75,78.25,78.25,Persistence,2026-07-19
7,3,ALAB,"Astera Labs, Inc. - Common Stock",Technology,Semiconductors,United States,半導体,303.6199951171875,52.04287488,1841.965351977539,1.151265487395594,2.422370761870218,0.4497445913461538,0.756882202867951,1.7507492848844588,0.0027065790238167,38.77280497986232,-0.1040978154862659,0.3714131878119985,True,62,87,83,40,63,B,0,58.8,77.55,68.25,77.55,Transition,2026-07-19
8,2,AMBA,"Ambarella, Inc. - Ordinary Shares",Technology,Semiconductor Equipment & Materials,United States,半導体,61.84000015258789,2.712808448,117.85250789079666,0.3715338844715918,0.2578265054708267,-0.3291766141597009,0.5919242798859489,1.4730334683436368,0.0168231905835211,49.79394561912047,-0.1686473615023916,0.3525285439279694,False,74,68,46,100,51,B,0,75.6,71.1,60.5,75.6,Acceleration,2026-07-19
9,3,FA,First Advantage Corporation - Common Stock,Industrials,Specialty Business Services,United States,その他,22.350000381469727,3.833852928,41.516354958601,0.8302486035305537,0.1262751043847486,-0.0571119585493251,0.4567378201956441,3.0,0.544924333598866,82.68395921194919,0.3113350018167747,0.0,True,82,75,38,85,10,D,0,75.25,70.0,44.150000000000006,75.25,Acceleration,2026-07-19
1,1,RELY,"Remitly Global, Inc. - Common stock",Technology,Software - Infrastructure,United States,ソフトウェア,22.530000686645508,4.74394112,70.73181065568924,0.2936668241079841,0.3385397417093356,0.4448329151110839,0.6020504578487439,2.0168274863143543,0.1317065111505827,36.84210837110879,0.0373883661602012,0.107015414370931,True,39,66,97,85,90,S,0,51.0,71.25,92.6,92.6,Persistence,2026-07-26
2,2,S,"SentinelOne, Inc. Class A Common Stock",Technology,Software - Infrastructure,United States,ソフトウェア,18.13999938964844,6.218459136,139.93032269180298,0.2188990104216755,0.3224755857645608,0.4713048256782076,0.741153805436652,3.0,0.0061527368420189,49.936141608510425,0.0612282840136963,0.0893574638467908,True,39,31,97,85,85,S,0,50.5,44.5,91.6,91.6,Persistence,2026-07-26
3,3,FROG,JFrog Ltd. - Ordinary shares,Technology,Software - Application,United States,ソフトウェア,80.16000366210938,9.708957696,286.42211388519286,0.2412016205821399,0.2246503146739223,0.2494143693758034,0.7678756768953069,0.3199821860995908,0.00928598000413,25.887096823812414,-0.0260000199866519,0.1828745676968008,True,50,24,100,85,73,A,0,57.55,38.05,90.85,90.85,Persistence,2026-07-26
4,2,DAVE,Dave Inc.  - Class A Common Stock,Technology,Software - Application,United States,ソフトウェア,402.80999755859375,5.12142592,215.15491804595948,0.5967165692816558,0.3395807682955541,0.2648678467862408,0.8668668415791202,1.4090920688921964,0.1542905678493613,52.25720870425802,0.2430980082619606,0.0897566296754329,True,85,64,100,85,70,A,0,83.5,67.75,90.25,90.25,Persistence,2026-07-26
5,1,WDC,Western Digital Corporation - Common Stock,Technology,Computer Hardware,United States,その他,519.7999877929688,179.165773824,4261.69195691803,0.5070444831407314,0.009912070343725,-0.6671633054860853,0.3878151260504202,2.63764404609475,0.3364519354377946,41.92798620301204,-0.0698254171576611,0.3034319159001726,True,74,100,30,25,73,A,0,66.55,86.05,37.35,86.05,Transition,2026-07-26
6,1,LB,LandBridge Company LLC Class A Shares Representing Limited Liability Company Interests,Energy,Oil & Gas Equipment & Services,United States,電力/エネルギー,76.33000183105469,5.878708224,25.51597466209412,0.8106935627626098,0.5090098126672614,0.4072850879734245,0.9322125840687516,0.8309852815411621,0.4101479002324941,54.60993396214813,0.0589062736060937,0.1034370710292645,True,86,64,82,85,85,S,0,85.75,69.25,83.35,85.75,Acceleration,2026-07-26
7,2,CNX,CNX Resources Corporation Common Stock,Energy,Oil & Gas E&P,United States,電力/エネルギー,34.290000915527344,4.851267072,65.8260004075241,0.4886648123841797,-0.0445496768231476,-0.6162289496064445,0.472347609514799,0.9385544224478756,0.2864223945031945,57.62143769968051,0.0136933104451046,0.1952593188370661,False,71,85,34,85,90,S,0,75.0,85.5,57.95,85.5,Transition,2026-07-26
8,3,CRK,"Comstock Resources, Inc. Common Stock",Energy,Oil & Gas E&P,United States,電力/エネルギー,13.520000457763672,3.970767872,35.24995359350204,0.5382751798848099,-0.1990462006160593,-0.56860958909962,0.2290770715497334,0.0575678887372914,0.4149298236550497,42.55814861258167,-0.0117103233586123,0.5060284967772638,False,60,87,2,85,65,A,0,64.25,84.5,35.35,84.5,Transition,2026-07-26
9,3,FA,First Advantage Corporation - Common Stock,Industrials,Specialty Business Services,United States,その他,19.63999938964844,3.368987392,38.88248519165039,0.8302486035305537,0.1262751043847486,-0.0571119585493251,0.4567378201956441,3.0,0.544924333598866,46.52114437796625,0.1181135218840514,0.12125283872783,True,82,75,38,85,70,A,0,81.25,76.0,56.150000000000006,81.25,Acceleration,2026-07-26
10,4,BKV,BKV Corporation Common Stock,Energy,Oil & Gas E&P,United States,電力/エネルギー,25.540000915527344,2.793734144,21.457176369171144,0.5135772697791228,-0.2004795695518015,-0.5551326538663782,0.8238226142645682,-19.701282487799343,0.1555343679136737,36.34722810483576,-0.0328101943265557,0.2058457389084058,False,73,75,25,100,80,S,0,77.75,79.25,54.75,79.25,Transition,2026-07-26
1,1,ZETA,Zeta Global Holdings Corp. Class A Common Stock,Technology,Software - Infrastructure,United States,ソフトウェア,21.600000381469727,5.383964672,164.77657491005897,0.2972038888237084,0.3801595393585766,0.2331152140327365,0.6063465954557021,0.791582513518796,0.1310807143750282,48.41362873098367,0.0400716702703944,0.1445544403378326,True,36,49,97,85,100,S,0,49.75,59.5,94.6,94.6,Persistence,2026-08-02
2,2,YOU,"Clear Secure, Inc. Class A Common Stock",Technology,Software - Application,United States,ソフトウェア,55.2400016784668,7.3834496,63.31553752384186,0.1691019198222425,0.2557274613374969,0.4026778896930737,0.6442368216843422,0.2109122992765131,0.0861774508359726,55.52147161492936,0.0062044184413227,0.1116705587116628,True,25,21,97,85,100,S,0,41.5,38.5,94.6,94.6,Persistence,2026-08-02
