rank,ticker,name,sector,industry,country,theme,price,market_cap_bil,dollar_volume_mil,revenue_growth_1y,revenue_growth_2y,revenue_growth_3y,gross_margin,fcf_growth,debt_ratio,rsi,gap50,dist_high,above200,acceleration_score,transition_score,persistence_score,upside_score,entry_score,entry_grade,risk_penalty,acceleration_final,transition_final,persistence_final,total_score,best_type
1,ZETA,Zeta Global Holdings Corp. Class A Common Stock,Technology,Software - Infrastructure,United States,ソフトウェア,20.209999084472656,5.03749632,198.04222722854615,0.2972038888237084,0.3801595393585766,0.2331152140327365,0.6063465954557021,0.791582513518796,0.13108071437502827,55.70738876890445,0.09322423193777038,0.19960399665454825,True,36,49,97,85,85,S,0,48.25,58.0,91.6,91.6,Persistence
2,BRZE,"Braze, Inc. - Class A Common Stock",Technology,Software - Application,United States,ソフトウェア,21.65999984741211,2.43960192,74.13243247776032,0.24396622908275897,0.25775752437473504,0.3274211790921317,0.6714563617102557,1.9581295843520783,0.07421187925193737,41.051229503775936,-0.04372972701578077,0.4014921064012815,False,33,17,97,100,65,A,0,46.25,34.25,91.35,91.35,Persistence
3,RELY,"Remitly Global, Inc. - Common stock",Technology,Software - Infrastructure,United States,ソフトウェア,19.079999923706055,4.01750528,76.58807369375229,0.29366682410798417,0.33853974170933565,0.4448329151110839,0.6020504578487439,2.0168274863143543,0.13170651115058274,31.617644996378843,-0.06610673186272656,0.21416806490452692,True,39,66,97,85,80,S,0,50.0,70.25,90.6,90.6,Persistence
4,FROG,JFrog Ltd. - Ordinary shares,Technology,Software - Application,United States,ソフトウェア,77.73999786376953,9.415846912,182.92532457336426,0.24120162058213998,0.22465031467392235,0.24941436937580347,0.7678756768953069,0.31998218609959084,0.009285980004130084,54.92772628020428,0.26456259479771577,0.11969199396490772,True,50,24,100,85,70,A,0,57.25,37.75,90.25,90.25,Persistence
5,FLYW,Flywire Corporation - Voting Common Stock,Technology,Software - Infrastructure,United States,ソフトウェア,14.710000038146973,1.815476992,32.97055278550148,0.2659404564517702,0.22091621309173542,0.3929814254859611,0.6142048874443241,-0.022817760851689965,0.001073953593396063,35.34302829438437,0.014762696856444735,0.1703327457451494,True,42,24,92,100,90,S,-5,50.5,37.0,88.6,88.6,Persistence
6,INVX,"Innovex International, Inc. Common Stock",Energy,Oil & Gas Equipment & Services,United States,電力/エネルギー,29.450000762939453,2.024972672,13.467338098888398,0.4803973347578628,0.18948084652922656,0.18910976071782512,0.3100226833399608,0.9510301208591646,0.06251404431261516,47.36380308521155,0.06962556826717207,0.051529742783741304,True,57,20,89,100,72,A,0,64.95,37.2,88.35000000000001,88.35000000000001,Persistence
7,TTAN,"ServiceTitan, Inc. - Class A Common Stock",Technology,Software - Application,United States,ソフトウェア,66.7699966430664,6.369064448,114.52690289203643,0.2449700600353942,0.2564325024701265,0.31344097286064304,0.7011067000359014,3.0,0.02943972603760221,54.833508600377414,0.04280704935033077,0.44181579075432464,False,39,49,97,85,65,A,0,48.5,56.0,87.6,87.6,Persistence
8,APPF,"AppFolio, Inc. - Class A Common Stock",Technology,Software - Application,United States,ソフトウェア,161.2100067138672,5.700149248,61.232396850128175,0.1972042377128237,0.2800522205836134,0.31482804000144105,0.6367974237028592,0.3013543456758743,0.05538726818555896,47.025823220347775,-0.0014370115428587508,0.4981789674276508,False,22,14,97,85,65,A,0,35.75,29.75,87.6,87.6,Persistence
9,S,"SentinelOne, Inc. Class A Common Stock",Technology,Software - Infrastructure,United States,ソフトウェア,14.850000381469727,5.090635264,152.4743836667919,0.21889901042167553,0.3224755857645608,0.4713048256782076,0.741153805436652,3.0,0.0061527368420189145,23.044708400829748,-0.03697744665689429,0.24924166501694195,False,39,31,97,85,63,B,0,48.3,42.3,87.19999999999999,87.19999999999999,Persistence
10,YOU,"Clear Secure, Inc. Class A Common Stock",Technology,Software - Application,United States,ソフトウェア,50.25,6.716479488,66.12422625,0.1691019198222425,0.2557274613374969,0.4026778896930737,0.6442368216843422,0.21091229927651314,0.0861774508359726,25.321749523715596,-0.08615692084445202,0.1919161283780414,True,25,21,97,85,63,B,0,37.8,34.8,87.19999999999999,87.19999999999999,Persistence
