portfolio_rank,rank,ticker,name,sector,industry,country,theme,price,market_cap_bil,dollar_volume_mil,revenue_growth_1y,revenue_growth_2y,revenue_growth_3y,gross_margin,fcf_growth,debt_ratio,rsi,gap50,dist_high,above200,acceleration_score,transition_score,persistence_score,upside_score,entry_score,entry_grade,risk_penalty,acceleration_final,transition_final,persistence_final,total_score,best_type
1,1,DAVE,Dave Inc.  - Class A Common Stock,Technology,Software - Application,United States,ソフトウェア,334.57000732421875,4.267610112,153.95238887023925,0.5967165692816558,0.3395807682955541,0.2648678467862408,0.8668668415791202,1.4090920688921964,0.15429056784936132,35.137174023050264,-0.048603467254282086,0.24396084277423427,True,85,64,100,85,90,S,0,85.5,69.75,94.25,94.25,Persistence
2,1,UROY,Uranium Royalty Corp. - Common Stock,Energy,Uranium,United States,電力/エネルギー,4.119999885559082,1.569997312,14.831216788034439,3.0,-0.6386939664840271,2.0767469467303323,0.30626577945141,3.0,0.00030536804885888784,89.2045421448867,0.32152934187605803,0.24542127165307914,True,69,100,42,100,35,C,-5,65.25,88.5,50.1,88.5,Transition
3,2,AROC,"Archrock, Inc. Common Stock",Energy,Oil & Gas Equipment & Services,United States,電力/エネルギー,34.689998626708984,6.082481664,60.32625451183319,0.28699860313357656,0.16888594488542788,0.17120917537087496,0.4857183897630449,0.6956306070097366,0.5566667678322784,41.32042323664587,-0.04186478082783621,0.1676119060621211,True,50,43,85,85,100,S,0,60.25,55.0,88.0,88.0,Persistence
4,3,DUOL,"Duolingo, Inc. - Class A Common Stock",Technology,Software - Application,United States,ソフトウェア,132.8300018310547,6.18896384,175.96720907569886,0.38710656342577243,0.40841898743948984,0.43739157498748293,0.7223062310799363,0.36331622366883154,0.04707351035196584,56.39107188456581,0.044517220114458196,0.6402123542006368,False,34,39,97,85,65,A,0,44.75,48.5,87.6,87.6,Persistence
5,2,LB,LandBridge Company LLC Class A Shares Representing Limited Liability Company Interests,Energy,Oil & Gas Equipment & Services,United States,電力/エネルギー,78.69000244140625,6.104947712,25.493200090942384,0.8106935627626098,0.5090098126672614,0.4072850879734245,0.9322125840687517,0.8309852815411621,0.41014790023249414,53.09711316572964,0.07662876915701178,0.07571687338062022,True,86,64,82,85,72,A,0,84.45,67.95,80.75,84.45,Acceleration
6,2,CNX,CNX Resources Corporation Common Stock,Energy,Oil & Gas E&P,United States,電力/エネルギー,35.720001220703125,5.28454656,56.027893514709476,0.48866481238417975,-0.044549676823147644,-0.6162289496064445,0.47234760951479904,0.9385544224478757,0.28642239450319457,59.94436592219081,0.056517189342782596,0.16169911501889533,False,71,85,34,85,75,A,0,73.5,84.0,54.95,84.0,Transition
7,3,CRK,"Comstock Resources, Inc. Common Stock",Energy,Oil & Gas E&P,United States,電力/エネルギー,14.0600004196167,4.128304896,31.188174130802153,0.5382751798848099,-0.19904620061605932,-0.56860958909962,0.22907707154973342,0.05756788873729149,0.4149298236550497,60.99585349585893,0.042068154099654996,0.4862988677931475,False,60,87,2,85,45,C,0,62.25,82.5,31.35,82.5,Transition
8,3,FA,First Advantage Corporation - Common Stock,Industrials,Specialty Business Services,United States,その他,21.579999923706055,3.7064448,61.16279108376503,0.8302486035305537,0.12627510438474862,-0.057111958549325145,0.45673782019564413,3.0,0.544924333598866,57.74760214250599,0.12973055056639618,0.10530683362978159,True,82,75,38,85,70,A,0,81.25,76.0,56.150000000000006,81.25,Acceleration
9,4,BKV,BKV Corporation Common Stock,Energy,Oil & Gas E&P,United States,電力/エネルギー,26.729999542236328,2.925273088,23.925621640262605,0.5135772697791228,-0.2004795695518015,-0.5551326538663782,0.8238226142645682,-19.701282487799343,0.1555343679136737,56.127694497448154,0.04620031592369167,0.16884329387248828,False,73,75,25,100,90,S,0,78.75,80.25,56.75,80.25,Transition
