portfolio_rank,rank,ticker,name,sector,industry,country,theme,price,market_cap_bil,dollar_volume_mil,revenue_growth_1y,revenue_growth_2y,revenue_growth_3y,gross_margin,fcf_growth,debt_ratio,rsi,gap50,dist_high,above200,acceleration_score,transition_score,persistence_score,upside_score,entry_score,entry_grade,risk_penalty,acceleration_final,transition_final,persistence_final,total_score,best_type
1,1,AVPT,"AvePoint, Inc. - Class A Common Stock",Technology,Software - Infrastructure,United States,ソフトウェア,12.789999961853027,2.705921792,28.584946464743613,0.26934901144389106,0.21578957049572337,0.16994994383207296,0.7406393847870187,-0.05539999291106937,0.012606740405559688,44.642861603066834,0.08376971956444422,0.22998196918294286,True,57,47,92,100,85,S,0,66.25,58.75,92.6,92.6,Persistence
2,2,YOU,"Clear Secure, Inc. Class A Common Stock",Technology,Software - Application,United States,ソフトウェア,51.290000915527344,6.964570624,71.26668692211152,0.1691019198222425,0.2557274613374969,0.4026778896930737,0.6442368216843422,0.21091229927651314,0.0861774508359726,36.35942475981008,-0.05557225704466393,0.17519159173506194,True,25,21,97,85,80,S,0,39.5,36.5,90.6,90.6,Persistence
3,3,LOAR,Loar Holdings Inc. Common Stock,Industrials,Aerospace & Defense,United States,防衛/宇宙,70.87000274658203,6.639702016,44.244851414718624,0.2320248051854555,0.26881317386771325,0.3259478603707076,0.5265644803468988,1.1530802603036876,0.3573091939158815,52.181991802477384,-0.00015233537343452812,0.13467641726247828,True,29,29,89,85,100,S,0,44.5,44.5,90.2,90.2,Persistence
4,1,UROY,Uranium Royalty Corp. - Common Stock,Energy,Uranium,United States,電力/エネルギー,4.150000095367432,1.581429504,15.590554358272552,3.0,-0.6386939664840271,2.0767469467303323,0.30626577945141,3.0,0.00030536804885888784,80.88888794698843,0.3597195705685881,0.2399267277705243,True,69,100,42,100,35,C,-5,65.25,88.5,50.1,88.5,Transition
5,1,LB,LandBridge Company LLC Class A Shares Representing Limited Liability Company Interests,Energy,Oil & Gas Equipment & Services,United States,電力/エネルギー,75.4000015258789,5.807082496,20.959315424156188,0.8106935627626098,0.5090098126672614,0.4072850879734245,0.9322125840687517,0.8309852815411621,0.41014790023249414,49.78577865788622,0.03696115193433863,0.11436074163780949,True,86,64,82,85,100,S,0,87.25,70.75,86.35,87.25,Acceleration
6,2,DAVE,Dave Inc.  - Class A Common Stock,Technology,Software - Application,United States,ソフトウェア,317.92999267578125,4.055358208,152.2375976928711,0.5967165692816558,0.3395807682955541,0.2648678467862408,0.8668668415791202,1.4090920688921964,0.15429056784936132,25.31889745201221,-0.10068596860128667,0.2815628464674039,True,85,64,100,85,46,C,0,81.1,65.35,85.45,85.45,Persistence
7,2,CRK,"Comstock Resources, Inc. Common Stock",Energy,Oil & Gas E&P,United States,電力/エネルギー,13.40999984741211,3.93745152,33.08173207357407,0.5382751798848099,-0.19904620061605932,-0.56860958909962,0.22907707154973342,0.05756788873729149,0.4149298236550497,55.53190984246719,-0.001325621359675103,0.5100475178579604,False,60,87,2,85,65,A,0,64.25,84.5,35.35,84.5,Transition
8,3,CNX,CNX Resources Corporation Common Stock,Energy,Oil & Gas E&P,United States,電力/エネルギー,35.13999938964844,5.198738944,60.5718711479187,0.48866481238417975,-0.044549676823147644,-0.6162289496064445,0.47234760951479904,0.9385544224478757,0.28642239450319457,66.71158274420611,0.04383883440877317,0.17531098600567452,False,71,85,34,85,70,A,0,73.0,83.5,53.95,83.5,Transition
9,3,BKV,BKV Corporation Common Stock,Energy,Oil & Gas E&P,United States,電力/エネルギー,24.459999084472656,2.676849152,21.012851413497923,0.5135772697791228,-0.2004795695518015,-0.5551326538663782,0.8238226142645682,-19.701282487799343,0.1555343679136737,44.48398415475271,-0.04221914136736289,0.23942788555576022,False,73,75,25,100,90,S,0,78.75,80.25,56.75,80.25,Transition
10,4,FA,First Advantage Corporation - Common Stock,Industrials,Specialty Business Services,United States,その他,24.010000228881836,4.123806208,49.045947767543794,0.8302486035305537,0.12627510438474862,-0.057111958549325145,0.45673782019564413,3.0,0.544924333598866,57.32648235065109,0.279325668304137,0.004560555826044433,True,82,75,38,85,45,C,0,78.75,73.5,51.150000000000006,78.75,Acceleration
