rank,ticker,name,sector,industry,country,theme,price,market_cap_bil,dollar_volume_mil,revenue_growth_1y,revenue_growth_2y,revenue_growth_3y,gross_margin,fcf_growth,debt_ratio,rsi,gap50,dist_high,above200,acceleration_score,transition_score,persistence_score,upside_score,entry_score,entry_grade,risk_penalty,acceleration_final,transition_final,persistence_final,total_score,best_type
1,DAVE,Dave Inc.  - Class A Common Stock,Technology,Software - Application,United States,ソフトウェア,440.4200134277344,5.599608832,257.90775776321414,0.5967165692816558,0.3395807682955541,0.2648678467862408,0.8668668415791202,1.4090920688921964,0.15429056784936132,78.78712870338688,0.4361590882297584,0.004768005236668291,True,85,64,100,85,10,D,0,77.5,61.75,78.25,78.25,Persistence
2,AMBA,"Ambarella, Inc. - Ordinary Shares",Technology,Semiconductor Equipment & Materials,United States,半導体,61.84000015258789,2.712808448,117.85250789079666,0.3715338844715918,0.2578265054708267,-0.32917661415970095,0.5919242798859489,1.4730334683436368,0.016823190583521164,49.79394561912047,-0.16864736150239168,0.35252854392796945,False,74,68,46,100,51,B,0,75.6,71.1,60.5,75.6,Acceleration
3,FA,First Advantage Corporation - Common Stock,Industrials,Specialty Business Services,United States,その他,22.350000381469727,3.833852928,41.516354958601,0.8302486035305537,0.12627510438474862,-0.057111958549325145,0.45673782019564413,3.0,0.544924333598866,82.68395921194919,0.31133500181677476,0.0,True,82,75,38,85,10,D,0,75.25,70.0,44.150000000000006,75.25,Acceleration
4,LASR,"nLIGHT, Inc. - Common Stock",Technology,Semiconductors,United States,半導体,69.25,3.906302976,99.69680125,0.3162056530410782,-0.05417752392566728,-0.13276570078245709,0.29833161137259406,2.1950247789330484,0.1148662796231084,56.878491324795235,-0.01613538719424354,0.18481456753680386,True,66,81,30,85,100,S,0,72.25,83.5,57.75,83.5,Transition
5,EXE,Expand Energy Corporation - Common Stock,Energy,Oil & Gas E&P,United States,電力/エネルギー,88.12999725341797,21.0832384,388.3258849477768,1.8877043354655294,-0.45710610932475887,-0.3205453115441755,0.5084912626138322,3.0,0.17888075794534591,48.85751451147561,-0.037097699854546105,0.2745778467122412,False,73,87,46,65,73,A,0,71.8,82.3,56.15,82.3,Transition
6,BULL,Webull Corporation - Class A Ordinary Shares,Technology,Software - Application,United States,ソフトウェア,7.230000019073486,3.845048832,70.68095013646364,0.46323267288603315,0.0016095941050902206,0.0032694884585113206,0.7745187667477075,2.0718133318920744,0.01997567297325036,59.27601448721882,0.06417427183330515,0.5924464423700624,False,69,77,72,85,50,B,0,69.5,75.5,70.85,75.5,Transition
7,AIP,"Arteris, Inc.  - Common Stock",Technology,Semiconductors,United States,半導体,31.040000915527344,1.433178368,32.32847135353089,0.22269766474949762,0.07561584615957963,0.06526658462027075,0.9023080519701328,3.0,0.05187297337239527,31.81953027702359,-0.15822813114325196,0.3611854122648287,True,72,44,65,100,51,B,-5,69.1,48.1,65.95,69.1,Acceleration
8,PLTR,Palantir Technologies Inc. - Class A Common Stock,Technology,Software - Infrastructure,United States,ソフトウェア,132.3800048828125,317.356179456,5973.712586539306,0.5618339093221548,0.2878613688375613,0.16745152216493142,0.8236651721415028,0.8406361201194149,0.0257671796927596,75.10974768227275,-0.0007344236679865086,0.36103866414371516,False,82,64,90,10,38,C,0,66.8,53.3,59.60000000000001,66.8,Acceleration
9,APPS,"Digital Turbine, Inc. - Common Stock",Technology,Software - Application,United States,ソフトウェア,8.34000015258789,1.00800192,38.25566409992218,0.15238345708309378,-0.09913275369984682,-0.18236124459394523,0.4858761859775569,1.717189203051869,0.43829293272532416,34.61105251444221,0.003537666261872381,0.3734034643382779,True,65,67,30,100,73,A,-5,66.05,67.55,51.1,67.55,Transition
10,LIF,"Life360, Inc. - Common Stock",Technology,Software - Application,United States,ソフトウェア,53.790000915527344,4.3586944,40.88954499595642,0.3176368295808164,0.21990818276752114,0.33382098508574054,0.778052672115976,1.952037845705968,0.32342386275539553,51.673736716453774,0.1337170896200746,0.5149246892272178,False,65,69,96,85,35,C,0,65.0,68.0,81.05000000000001,81.05000000000001,Persistence
