rank,ticker,name,sector,industry,country,theme,price,market_cap_bil,dollar_volume_mil,revenue_growth_1y,revenue_growth_2y,revenue_growth_3y,gross_margin,fcf_growth,debt_ratio,rsi,gap50,dist_high,above200,acceleration_score,transition_score,persistence_score,upside_score,entry_score,entry_grade,risk_penalty,acceleration_final,transition_final,persistence_final,total_score,best_type
1,WDC,Western Digital Corporation - Common Stock,Technology,Computer Hardware,United States,その他,519.7999877929688,179.165773824,4261.69195691803,0.5070444831407314,0.00991207034372502,-0.6671633054860853,0.3878151260504202,2.63764404609475,0.3364519354377946,41.92798620301204,-0.06982541715766112,0.30343191590017266,True,74,100,30,25,73,A,0,66.55,86.05,37.35,86.05,Transition
2,CNX,CNX Resources Corporation Common Stock,Energy,Oil & Gas E&P,United States,電力/エネルギー,34.290000915527344,4.851267072,65.8260004075241,0.48866481238417975,-0.044549676823147644,-0.6162289496064445,0.47234760951479904,0.9385544224478757,0.28642239450319457,57.62143769968051,0.013693310445104667,0.19525931883706615,False,71,85,34,85,90,S,0,75.0,85.5,57.95,85.5,Transition
3,CRK,"Comstock Resources, Inc. Common Stock",Energy,Oil & Gas E&P,United States,電力/エネルギー,13.520000457763672,3.970767872,35.24995359350204,0.5382751798848099,-0.19904620061605932,-0.56860958909962,0.22907707154973342,0.05756788873729149,0.4149298236550497,42.55814861258167,-0.01171032335861236,0.5060284967772638,False,60,87,2,85,65,A,0,64.25,84.5,35.35,84.5,Transition
4,EXE,Expand Energy Corporation - Common Stock,Energy,Oil & Gas E&P,United States,電力/エネルギー,91.5199966430664,21.894223872,388.68039214328763,1.8877043354655294,-0.45710610932475887,-0.3205453115441755,0.5084912626138322,3.0,0.17888075794534591,58.91524031545849,0.006221783952067347,0.24667383294254167,False,73,87,46,65,90,S,0,73.5,84.0,59.55,84.0,Transition
5,LASR,"nLIGHT, Inc. - Common Stock",Technology,Semiconductors,United States,半導体,70.0199966430664,3.949737472,96.46059767543792,0.3162056530410782,-0.05417752392566728,-0.13276570078245709,0.29833161137259406,2.1950247789330484,0.1148662796231084,54.30656265632076,0.0008189527014859089,0.1757504513422436,True,66,81,30,85,100,S,0,72.25,83.5,57.75,83.5,Transition
6,BKV,BKV Corporation Common Stock,Energy,Oil & Gas E&P,United States,電力/エネルギー,25.540000915527344,2.793734144,21.457176369171144,0.5135772697791228,-0.2004795695518015,-0.5551326538663782,0.8238226142645682,-19.701282487799343,0.1555343679136737,36.34722810483576,-0.03281019432655574,0.20584573890840588,False,73,75,25,100,80,S,0,77.75,79.25,54.75,79.25,Transition
7,VISN,"Vistance Networks, Inc.  - Common Stock",Technology,Communication Equipment,United States,通信/光通信,11.800000190734863,2.6617216,72.14148416609287,0.39707796904383047,-0.25818220839145833,-0.6780334438916529,0.494874715261959,0.01937046004842615,0.7762351936826379,41.31736680825208,-0.035790142599044894,0.08385092500854642,True,64,85,28,100,100,S,-10,63.0,78.75,50.400000000000006,78.75,Transition
8,SPHR,Sphere Entertainment Co. Class A Common Stock,Communication Services,Entertainment,United States,その他,136.25999450683594,4.87704576,91.24241752166748,0.18809822678010962,0.7895321096280961,-0.05937825278048701,0.5164284923916741,1.6172986739320838,0.2283798125754767,37.9408471369551,-0.06560003635668948,0.2125065279539289,True,31,76,46,85,80,S,0,44.0,77.75,62.55,77.75,Transition
9,SITM,SiTime Corporation - Common Stock,Technology,Semiconductors,United States,半導体,554.4600219726562,16.609138688,335.8475245092773,0.6115680054465532,0.40768648475967584,-0.4922762292625306,0.5356823608645075,3.0,0.002788292877340602,39.36838172656569,-0.17890423978276507,0.38494471981025125,True,78,83,46,65,51,B,0,73.35,77.1,51.75,77.1,Transition
10,AD,"Array Digital Infrastructure, Inc. Common Shares",Communication Services,Telecom Services,United States,その他,34.880001068115234,3.015130368,10.16089311115265,0.5831754636511128,0.02452497785386537,-0.9759009354761333,0.5122452611361,-0.7994071976714042,0.2564062497327968,49.08721889800823,-0.08017258833607385,0.20819724685316793,False,66,75,29,85,80,S,0,70.25,77.0,53.2,77.0,Transition
