rank,ticker,name,sector,industry,country,theme,price,market_cap_bil,dollar_volume_mil,revenue_growth_1y,revenue_growth_2y,revenue_growth_3y,gross_margin,fcf_growth,debt_ratio,rsi,gap50,dist_high,above200,acceleration_score,transition_score,persistence_score,upside_score,entry_score,entry_grade,risk_penalty,acceleration_final,transition_final,persistence_final,total_score,best_type
1,ZETA,Zeta Global Holdings Corp. Class A Common Stock,Technology,Software - Infrastructure,United States,ソフトウェア,20.700000762939453,5.159632896,182.48199522573472,0.2972038888237084,0.3801595393585766,0.2331152140327365,0.6063465954557021,0.791582513518796,0.13108071437502827,53.738325566160604,0.07551467820852445,0.1801979895865563,True,36,49,97,85,85,S,0,48.25,58.0,91.6,91.6,Persistence
2,YOU,"Clear Secure, Inc. Class A Common Stock",Technology,Software - Application,United States,ソフトウェア,53.790000915527344,7.189640704,87.7820540940857,0.1691019198222425,0.2557274613374969,0.4026778896930737,0.6442368216843422,0.21091229927651314,0.0861774508359726,60.94118660792129,-0.030977131454323868,0.13498841404242717,True,25,21,97,85,80,S,0,39.5,36.5,90.6,90.6,Persistence
3,AROC,"Archrock, Inc. Common Stock",Energy,Oil & Gas Equipment & Services,United States,電力/エネルギー,36.790000915527344,6.44787456,86.13808469356538,0.28699860313357656,0.16888594488542788,0.17120917537087496,0.4857183897630449,0.6956306070097366,0.5566667678322784,52.50696793210477,-0.008261235760097413,0.12300356981091377,True,50,43,85,85,100,S,0,60.25,55.0,88.0,88.0,Persistence
4,TTD,"The Trade Desk, Inc. - Class A Common Stock",Communication Services,Advertising Agencies,United States,その他,19.100000381469727,8.979069952,418.7446838632679,0.18465611733489964,0.25625912071198076,0.23344287439115982,0.7862547319254604,0.23808575033918727,0.07091084017798811,51.655635203839964,-0.090380881655457,0.787210339495299,False,28,26,100,85,55,B,0,39.25,37.75,87.25,87.25,Persistence
5,HUBS,"HubSpot, Inc. Common Stock",Technology,Software - Application,United States,ソフトウェア,192.1199951171875,9.834758144,335.94774766174316,0.19170875605080487,0.21072098349022914,0.2537659542140847,0.8376097718941795,0.22746401074515799,0.06805779015923351,54.52521304542834,-0.06123843515542165,0.65747907513842,False,28,26,100,85,55,B,0,39.25,37.75,87.25,87.25,Persistence
6,SAIL,"SailPoint, Inc. - Common Stock",Technology,Software - Infrastructure,United States,ソフトウェア,15.270000457763672,8.66088448,84.28773027677536,0.24350315861798422,0.23162590841257225,0.554483540169098,0.6447458316844251,1.4313506484846463,0.002379842688989269,57.365687296662436,0.07951817389730823,0.35378751586598517,False,51,48,97,85,58,B,0,56.8,54.55,86.19999999999999,86.19999999999999,Persistence
7,BRZE,"Braze, Inc. - Class A Common Stock",Technology,Software - Application,United States,ソフトウェア,23.809999465942383,2.68176,58.295450292434694,0.24396622908275897,0.25775752437473504,0.3274211790921317,0.6714563617102557,1.9581295843520783,0.07421187925193737,64.74621938268385,0.06630717711115756,0.3420834382577152,False,33,17,97,100,38,C,0,43.55,31.55,85.94999999999999,85.94999999999999,Persistence
8,APPF,"AppFolio, Inc. - Class A Common Stock",Technology,Software - Application,United States,ソフトウェア,170.89999389648438,6.042772992,65.9511621446228,0.1972042377128237,0.2800522205836134,0.31482804000144105,0.6367974237028592,0.3013543456758743,0.05538726818555896,59.547310547986754,0.05747748102856893,0.4680155832016051,False,22,14,97,85,50,B,0,34.25,28.25,84.6,84.6,Persistence
9,S,"SentinelOne, Inc. Class A Common Stock",Technology,Software - Infrastructure,United States,ソフトウェア,17.510000228881836,6.002492928,111.23420255399704,0.21889901042167553,0.3224755857645608,0.4713048256782076,0.741153805436652,3.0,0.0061527368420189145,79.95642601939262,0.09198629688417875,0.11476240540761283,True,39,31,97,85,50,B,0,47.0,41.0,84.6,84.6,Persistence
10,MDB,"MongoDB, Inc. - Class A Common Stock",Technology,Software - Infrastructure,United States,ソフトウェア,354.8800048828125,28.54368256,598.1555714300537,0.22794268264784995,0.19217462036790015,0.3107153982741971,0.7174856532417241,3.0,0.008741774075461417,50.1459359200975,0.12038664482117663,0.19455288250850333,True,57,42,97,65,70,A,0,59.5,48.25,83.6,83.6,Persistence
