ticker,name,sector,industry,country,theme,price,market_cap_bil,dollar_volume_mil,revenue_growth_1y,revenue_growth_2y,revenue_growth_3y,gross_margin,fcf_growth,debt_ratio,rsi,gap50,dist_high,above200,acceleration_score,transition_score,persistence_score,upside_score,entry_score,entry_grade,risk_penalty,acceleration_final,transition_final,persistence_final,total_score,best_type
AAL,"American Airlines Group, Inc. - Common Stock",Industrials,Airlines,United States,その他,17.8700008392334,11.818953728,2352.1469019644737,0.007784398000405822,0.026956884140334925,0.07794408935900839,0.19166071788113412,-3.2751592356687897,0.5970796775342377,84.73768047032966,0.31319817379947357,0.0,True,0,0,14,65,10,D,0,10.75,10.75,25.950000000000003,25.950000000000003,Persistence
AAOI,"Applied Optoelectronics, Inc. - Common Stock",Technology,Communication Equipment,United States,通信/光通信,135.69000244140625,10.888141824,2019.765361390686,0.8275018547109658,0.14573665493507806,-0.023211769246649732,0.300435579254578,-2.1202507096387455,0.2123220785623015,37.767247991821975,-0.20234527628439902,0.3917974059648937,True,66,50,22,65,51,B,-10,54.349999999999994,42.35,28.550000000000004,54.349999999999994,Acceleration
AAON,"AAON, Inc. - Common Stock",Industrials,Building Products & Equipment,United States,その他,126.77999877929688,10.384766976,126.91692117797851,0.20109442086895685,0.027485241990281708,0.31473197207883097,0.26747827437666255,-1.4516879813806176,0.25178979075131486,44.01148415616425,0.03475154601326314,0.14422724849002708,True,27,5,33,65,100,S,0,40.0,23.5,54.400000000000006,54.400000000000006,Persistence
AAPL,Apple Inc. - Common Stock,Technology,Consumer Electronics,United States,その他,283.7799987792969,4167.977926656,19007.411212438048,0.0642551178283274,0.020219940775141214,-0.028004605303199367,0.4690516410716045,-0.09227347505215656,0.2746262258483859,33.48289740669075,-0.02618855225461608,0.09968277985692756,True,38,12,29,10,90,S,0,39.0,19.5,36.45,39.0,Acceleration
ABNB,"Airbnb, Inc. - Class A Common Stock",Consumer Cyclical,Travel Services,United States,その他,145.55999755859375,86.390571008,586.0893243698121,0.10259412718429112,0.11949178178884744,0.18073580188117633,0.8295890858589985,,0.09307456772334294,66.62060048637446,0.05883378018317606,0.0,True,20,2,55,40,40,C,0,25.0,11.5,48.25,48.25,Persistence
ABTC,American Bitcoin Corp. - Class A Common Stock,Financial Services,Capital Markets,United States,その他,0.7179999947547913,1.288980992,9.364245681591331,1.5883668591078743,0.1008910296856004,-0.010958737309934399,0.503137758959625,,0.15113773473500455,29.22637659318505,-0.31349677210996657,0.9228786291736438,False,73,40,26,100,8,D,-35,35.55,10.799999999999997,5.899999999999999,35.55,Acceleration
ACDC,ProFrac Holding Corp. - Class A Common Stock,Energy,Oil & Gas Equipment & Services,United States,電力/エネルギー,5.829999923706055,1.054768,8.952402132844925,-0.11369756720982245,-0.16695817490494297,0.08426781002638523,0.03651251416211762,-0.8254674977738201,0.4607671680074618,38.49372305632714,-0.157441411813089,0.2881562610002961,True,18,0,17,100,51,B,-5,28.6,15.100000000000001,39.550000000000004,39.550000000000004,Persistence
ACIW,"ACI Worldwide, Inc. - Common Stock",Technology,Software - Infrastructure,United States,ソフトウェア,49.2599983215332,5.007848448,52.205007321186066,0.10380433146332407,0.09755682823447125,0.02157534174320153,0.4899078408575608,-0.07720188589626295,0.273461652796686,74.84615032489484,0.12771623633589255,0.08131295593441196,True,43,14,41,85,35,C,0,48.5,26.75,50.8,50.8,Persistence
ACLS,"Axcelis Technologies, Inc. - Common Stock",Technology,Semiconductor Equipment & Materials,United States,半導体,173.22999572753906,5.324032512,117.06623266273499,-0.17567850353435868,-0.09971572716884072,0.2289200628697019,0.4491375940351446,-0.16812425662911915,0.03109337709378404,60.44219550973913,0.11294568190102793,0.0958768778224976,True,4,0,29,85,50,B,0,20.75,17.75,47.2,47.2,Persistence
ACMR,"ACM Research, Inc. - Class A Common Stock",Technology,Semiconductor Equipment & Materials,United States,半導体,104.5,7.221941248,194.49331,0.15239516287823576,0.4023413056302143,0.43435468274216116,0.4438732998339082,-2.022224895491865,0.1037217310166302,71.62348431143695,0.41895204600654457,0.04887596807445322,True,9,2,69,85,22,D,-10,11.7,6.449999999999999,53.6,53.6,Persistence
ACT,"Enact Holdings, Inc. - Common Stock",Financial Services,Insurance - Specialty,United States,その他,45.2400016784668,6.315538432,15.940314591407775,0.02833561052244432,0.04168205213550307,0.05371673244294087,,,0.10799806657492762,73.92507437590639,0.05989328324928962,0.0,True,0,0,22,85,25,D,-20,0.0,0.0,18.35,18.35,Persistence
ADBE,Adobe Inc. - Common Stock,Technology,Software - Application,United States,ソフトウェア,202.72999572753906,80.585170944,1837.746397620163,0.10527784236224134,0.10799113813179453,0.10240826990798592,0.8926753334174765,0.25136542613997204,0.22538649308380798,19.174781609652683,-0.1476446392820387,0.48296354865646773,False,25,26,75,40,16,D,0,26.35,27.1,54.45,54.45,Persistence
ADEA,Adeia Inc.  - Common Stock,Technology,Software - Application,United States,ソフトウェア,30.700000762939453,3.399253504,77.53654053189526,0.179142820671021,-0.032830231385742356,-0.11424294824039204,,-0.2147304431963989,0.41156813749214616,58.12855171637973,0.023517070260476163,0.08542209027521135,True,41,28,17,85,100,S,0,53.5,43.75,50.6,53.5,Acceleration
ADI,"Analog Devices, Inc. - Common Stock",Technology,Semiconductors,United States,半導体,386.9100036621094,188.45884416,2189.0555496194456,0.1689321605654812,-0.23390946142220995,0.024270612678441477,0.614669518890112,0.370454692501696,0.1805401203416052,45.842897097200904,-0.04832406250747346,0.1314761737446762,True,46,33,42,25,100,S,0,48.25,38.5,49.35,49.35,Persistence
ADP,"Automatic Data Processing, Inc. - Common Stock",Technology,Software - Application,United States,ソフトウェア,223.5500030517578,89.360596992,705.2846111280822,0.07073521293991439,0.06608853998956263,0.09176096931198972,0.46027168071436564,0.2221634856157142,0.16986169951638863,41.95703764969847,0.03953349638948094,0.2610715647148387,False,31,24,50,40,73,A,0,36.55,31.3,52.1,52.1,Persistence
ADSK,"Autodesk, Inc. - Common Stock",Technology,Software - Application,United States,ソフトウェア,196.25999450683594,41.439367168,742.5094559177398,0.17533844397325068,0.11533563762052028,0.0983016983016983,0.9097973910630031,0.5787375415282392,0.21929894922595652,23.647173259475167,-0.14240322019811527,0.39943085964986824,False,62,26,65,40,24,D,0,54.9,27.9,50.55,54.9,Acceleration
