ticker,name,sector,industry,country,theme,price,market_cap_bil,dollar_volume_mil,revenue_growth_1y,revenue_growth_2y,revenue_growth_3y,gross_margin,fcf_growth,debt_ratio,rsi,gap50,dist_high,above200,acceleration_score,transition_score,persistence_score,upside_score,entry_score,entry_grade,risk_penalty,acceleration_final,transition_final,persistence_final,total_score,best_type
AAL,"American Airlines Group, Inc. - Common Stock",Industrials,Airlines,United States,その他,14.979999542236328,9.907549184,2339.561048906937,0.007784398000405822,0.026956884140334925,0.07794408935900839,0.19166071788113412,-3.2751592356687897,0.5970796775342377,18.101508911703178,-0.00044042640549797466,0.17465565525728874,True,0,0,14,85,73,A,0,20.05,20.05,43.550000000000004,43.550000000000004,Persistence
AAOI,"Applied Optoelectronics, Inc. - Common Stock",Technology,Communication Equipment,United States,通信/光通信,102.41000366210938,8.217661952,1102.6956180316163,0.8275018547109658,0.14573665493507806,-0.023211769246649732,0.300435579254578,-2.1202507096387455,0.2123220785623015,35.40351126105175,-0.3591195547392778,0.5409681718493884,True,66,50,22,85,35,C,-10,55.75,43.75,30.35,55.75,Acceleration
AAON,"AAON, Inc. - Common Stock",Industrials,Building Products & Equipment,United States,その他,111.41999816894531,9.126602752,110.93643537689209,0.20109442086895685,0.027485241990281708,0.31473197207883097,0.26747827437666255,-1.4516879813806176,0.25178979075131486,29.062154201991802,-0.1302450306745747,0.24790819274053247,True,27,5,33,85,51,B,0,38.1,21.6,49.60000000000001,49.60000000000001,Persistence
AAPL,Apple Inc. - Common Stock,Technology,Consumer Electronics,United States,その他,333.739990234375,4901.757779968,22499.360114542236,0.0642551178283274,0.020219940775141214,-0.028004605303199367,0.4690516410716045,-0.09227347505215656,0.2746262258483859,88.58509070185222,0.10278996182081082,0.0,True,38,12,29,10,10,D,0,31.0,11.5,20.450000000000003,31.0,Acceleration
ABNB,"Airbnb, Inc. - Class A Common Stock",Consumer Cyclical,Travel Services,United States,その他,145.97999572753906,86.639845376,562.8105456279754,0.10259412718429112,0.11949178178884744,0.18073580188117633,0.8295890858589985,,0.09307456772334294,50.65217113160043,0.04952265686488701,0.01980794395568322,True,20,2,55,40,75,A,0,28.5,15.0,55.25,55.25,Persistence
ACIW,"ACI Worldwide, Inc. - Common Stock",Technology,Software - Infrastructure,United States,ソフトウェア,58.06999969482422,5.903486976,73.09270861587524,0.10380433146332407,0.09755682823447125,0.02157534174320153,0.4899078408575608,-0.07720188589626295,0.273461652796686,83.19518112049757,0.23863112416992924,0.01022666597659244,True,43,14,41,85,10,D,0,46.0,24.25,45.8,46.0,Acceleration
ACLS,"Axcelis Technologies, Inc. - Common Stock",Technology,Semiconductor Equipment & Materials,United States,半導体,136.4199981689453,4.19271808,88.01477231864929,-0.17567850353435868,-0.09971572716884072,0.2289200628697019,0.4491375940351446,-0.16812425662911915,0.03109337709378404,33.23312789968374,-0.14452198979989841,0.2879958568725631,True,4,0,29,85,51,B,0,20.85,17.85,47.400000000000006,47.400000000000006,Persistence
ACMR,"ACM Research, Inc. - Class A Common Stock",Technology,Semiconductor Equipment & Materials,United States,半導体,83.91999816894531,5.799668224,144.6281444443512,0.15239516287823576,0.4023413056302143,0.43435468274216116,0.4438732998339082,-2.022224895491865,0.1037217310166302,39.63223929720697,-0.040460302333548005,0.3386397779761403,True,9,2,69,85,73,A,-10,16.8,11.55,63.80000000000001,63.80000000000001,Persistence
ACT,"Enact Holdings, Inc. - Common Stock",Financial Services,Insurance - Specialty,United States,その他,46.52000045776367,6.494226944,15.468830552215577,0.02833561052244432,0.04168205213550307,0.05371673244294087,,,0.10799806657492762,61.07267075416285,0.0718748252920993,0.0006444421007206295,True,0,0,22,85,40,C,-20,0.0,0.0,21.35,21.35,Persistence
ADBE,Adobe Inc. - Common Stock,Technology,Software - Application,United States,ソフトウェア,237.25,94.30687744,1609.0413625,0.10527784236224134,0.10799113813179453,0.10240826990798592,0.8926753334174765,0.25136542613997204,0.22538649308380798,78.06506501365476,0.028963644996260446,0.3637192503906466,False,25,26,75,40,38,C,0,28.55,29.3,58.85,58.85,Persistence
ADEA,Adeia Inc.  - Common Stock,Technology,Software - Application,United States,ソフトウェア,25.3799991607666,2.799255296,45.15415166790018,0.179142820671021,-0.032830231385742356,-0.11424294824039204,,-0.2147304431963989,0.41156813749214616,28.881990382996406,-0.14421307056946778,0.2439092506703796,True,41,28,17,100,51,B,0,50.85,41.1,44.550000000000004,50.85,Acceleration
ADI,"Analog Devices, Inc. - Common Stock",Technology,Semiconductors,United States,半導体,375.3599853515625,182.83298816,1982.396197836914,0.1689321605654812,-0.23390946142220995,0.024270612678441477,0.614669518890112,0.370454692501696,0.1805401203416052,44.345431699981624,-0.07694921787769547,0.15740330408880596,True,46,33,42,25,90,S,0,47.25,37.5,47.35,47.35,Persistence
