rank,ticker,name,sector,industry,country,theme,price,market_cap_bil,dollar_volume_mil,revenue_growth_1y,revenue_growth_2y,revenue_growth_3y,gross_margin,fcf_growth,debt_ratio,rsi,gap50,dist_high,above200,acceleration_score,transition_score,persistence_score,upside_score,entry_score,entry_grade,risk_penalty,acceleration_final,transition_final,persistence_final,total_score,best_type
1,UROY,Uranium Royalty Corp. - Common Stock,Energy,Uranium,United States,電力/エネルギー,4.150000095367432,1.581429504,15.590554358272552,3.0,-0.6386939664840271,2.0767469467303323,0.30626577945141,3.0,0.00030536804885888784,80.88888794698843,0.3597195705685881,0.2399267277705243,True,69,100,42,100,35,C,-5,65.25,88.5,50.1,88.5,Transition
2,CRK,"Comstock Resources, Inc. Common Stock",Energy,Oil & Gas E&P,United States,電力/エネルギー,13.40999984741211,3.93745152,33.08173207357407,0.5382751798848099,-0.19904620061605932,-0.56860958909962,0.22907707154973342,0.05756788873729149,0.4149298236550497,55.53190984246719,-0.001325621359675103,0.5100475178579604,False,60,87,2,85,65,A,0,64.25,84.5,35.35,84.5,Transition
3,CNX,CNX Resources Corporation Common Stock,Energy,Oil & Gas E&P,United States,電力/エネルギー,35.13999938964844,5.198738944,60.5718711479187,0.48866481238417975,-0.044549676823147644,-0.6162289496064445,0.47234760951479904,0.9385544224478757,0.28642239450319457,66.71158274420611,0.04383883440877317,0.17531098600567452,False,71,85,34,85,70,A,0,73.0,83.5,53.95,83.5,Transition
4,EXE,Expand Energy Corporation - Common Stock,Energy,Oil & Gas E&P,United States,電力/エネルギー,92.83999633789062,21.492811776,342.4644648913574,1.8877043354655294,-0.45710610932475887,-0.3205453115441755,0.5084912626138322,3.0,0.17888075794534591,62.832235853547616,0.03164263422303602,0.23580855380035456,False,73,87,46,65,70,A,0,71.5,82.0,55.55,82.0,Transition
5,BKV,BKV Corporation Common Stock,Energy,Oil & Gas E&P,United States,電力/エネルギー,24.459999084472656,2.676849152,21.012851413497923,0.5135772697791228,-0.2004795695518015,-0.5551326538663782,0.8238226142645682,-19.701282487799343,0.1555343679136737,44.48398415475271,-0.04221914136736289,0.23942788555576022,False,73,75,25,100,90,S,0,78.75,80.25,56.75,80.25,Transition
6,LASR,"nLIGHT, Inc. - Common Stock",Technology,Semiconductors,United States,半導体,56.154998779296875,3.167630848,64.79472611648559,0.3162056530410782,-0.05417752392566728,-0.13276570078245709,0.29833161137259406,2.1950247789330484,0.1148662796231084,40.46143249864032,-0.1766165493463556,0.33896408714987186,True,66,81,30,85,61,B,0,68.35,79.6,49.95,79.6,Transition
7,ALAB,"Astera Labs, Inc. - Common Stock",Technology,Semiconductors,United States,半導体,334.1700134277344,57.973518336,1667.2677645947265,1.151265487395594,2.422370761870218,0.44974459134615385,0.756882202867951,1.7507492848844588,0.0027065790238167205,54.57881745760862,-0.06608759862883488,0.3081652498272164,True,62,87,83,40,73,A,0,59.8,78.55,70.25,78.55,Transition
8,AD,"Array Digital Infrastructure, Inc. Common Shares",Communication Services,Telecom Services,United States,その他,35.2400016784668,3.046249728,5.190147447204589,0.5831754636511128,0.02452497785386537,-0.9759009354761333,0.5122452611361,-0.7994071976714042,0.2564062497327968,56.0296994386237,-0.04535098265784086,0.2000249571260475,False,66,75,29,85,90,S,0,71.25,78.0,55.2,78.0,Transition
9,VISN,"Vistance Networks, Inc.  - Common Stock",Technology,Communication Equipment,United States,通信/光通信,10.9399995803833,2.5230528,76.02101778412342,0.39707796904383047,-0.25818220839145833,-0.6780334438916529,0.494874715261959,0.01937046004842615,0.7762351936826379,41.59444825785777,-0.10455582885136826,0.15062115813822932,True,64,85,28,100,90,S,-10,62.0,77.75,48.400000000000006,77.75,Transition
10,PARR,"Par Pacific Holdings, Inc.  Common Stock",Energy,Oil & Gas Refining & Marketing,United States,電力/エネルギー,66.29000091552734,3.321104384,72.57760750236511,-0.06392999548433204,-0.03128029732912777,0.12430985067165999,0.16216473645783794,3.0,0.32002595933055605,33.661934849081106,0.022479446631691838,0.2294548197589881,True,18,74,26,85,90,S,0,35.25,77.25,53.55,77.25,Transition
