rank,ticker,name,sector,industry,country,theme,price,market_cap_bil,dollar_volume_mil,revenue_growth_1y,revenue_growth_2y,revenue_growth_3y,gross_margin,fcf_growth,debt_ratio,rsi,gap50,dist_high,above200,acceleration_score,transition_score,persistence_score,upside_score,entry_score,entry_grade,risk_penalty,acceleration_final,transition_final,persistence_final,total_score,best_type
1,YOU,"Clear Secure, Inc. Class A Common Stock",Technology,Software - Application,United States,ソフトウェア,55.220001220703125,7.380776448,86.92843032165527,0.1691019198222425,0.2557274613374969,0.4026778896930737,0.6442368216843422,0.21091229927651314,0.0861774508359726,64.99602901113121,-0.007426914593909917,0.11199219149462564,True,25,21,97,85,80,S,0,39.5,36.5,90.6,90.6,Persistence
2,MDB,"MongoDB, Inc. - Class A Common Stock",Technology,Software - Infrastructure,United States,ソフトウェア,342.0799865722656,27.51415296,534.3614366246032,0.22794268264784995,0.19217462036790015,0.3107153982741971,0.7174856532417241,3.0,0.008741774075461417,53.12604231233368,0.048222229433799634,0.22360421735469396,True,57,42,97,65,100,S,0,62.5,51.25,89.6,89.6,Persistence
3,DT,"Dynatrace, Inc. Common Stock",Technology,Software - Application,United States,ソフトウェア,43.68000030517578,12.731660288,253.65544017219543,0.18820698152627655,0.18745010590480451,0.23478028190897085,0.8155933426047631,0.22959149313659238,0.037213368133205756,58.49624668293506,0.06329115259356886,0.20160846214357403,True,46,14,100,65,85,S,0,52.75,28.75,88.25,88.25,Persistence
4,AROC,"Archrock, Inc. Common Stock",Energy,Oil & Gas Equipment & Services,United States,電力/エネルギー,38.529998779296875,6.75282944,91.82257394088745,0.28699860313357656,0.16888594488542788,0.17120917537087496,0.4857183897630449,0.6956306070097366,0.5566667678322784,55.012843953927494,0.034512122179427056,0.08152567154811506,True,50,43,85,85,100,S,0,60.25,55.0,88.0,88.0,Persistence
5,ZETA,Zeta Global Holdings Corp. Class A Common Stock,Technology,Software - Infrastructure,United States,ソフトウェア,21.489999771118164,5.356546048,204.58909582099915,0.2972038888237084,0.3801595393585766,0.2331152140327365,0.6063465954557021,0.791582513518796,0.13108071437502827,65.47191937090787,0.09369432733838702,0.14891090015373606,True,36,49,97,85,65,A,0,46.25,56.0,87.6,87.6,Persistence
6,TTD,"The Trade Desk, Inc. - Class A Common Stock",Communication Services,Advertising Agencies,United States,その他,19.530000686645508,9.181216768,380.7702714373112,0.18465611733489964,0.25625912071198076,0.23344287439115982,0.7862547319254604,0.23808575033918727,0.07091084017798811,59.205785122259734,-0.05213497269843566,0.7824197836247324,False,28,26,100,85,55,B,0,39.25,37.75,87.25,87.25,Persistence
7,INVX,"Innovex International, Inc. Common Stock",Energy,Oil & Gas Equipment & Services,United States,電力/エネルギー,25.469999313354492,1.778325376,12.241900469970703,0.4803973347578628,0.18948084652922656,0.18910976071782512,0.3100226833399608,0.9510301208591646,0.06251404431261516,48.9177440922728,-0.06178171563652263,0.17971014688611966,True,57,20,89,100,90,S,-5,61.75,34.0,86.95,86.95,Persistence
8,FLYW,Flywire Corporation - Voting Common Stock,Technology,Software - Infrastructure,United States,ソフトウェア,17.6200008392334,2.174623232,45.18243955202102,0.2659404564517702,0.22091621309173542,0.3929814254859611,0.6142048874443241,-0.022817760851689965,0.001073953593396063,64.39024405372581,0.09898339709942541,0.06026662190755208,True,42,24,92,100,52,B,0,51.7,38.2,86.0,86.0,Persistence
9,SAIL,"SailPoint, Inc. - Common Stock",Technology,Software - Infrastructure,United States,ソフトウェア,13.710000038146973,7.776078848,70.61609719648361,0.24350315861798422,0.23162590841257225,0.554483540169098,0.6447458316844251,1.4313506484846463,0.002379842688989269,52.55376369929168,-0.05283665236016837,0.4198053099845225,False,51,48,97,85,55,B,0,56.5,54.25,85.6,85.6,Persistence
10,S,"SentinelOne, Inc. Class A Common Stock",Technology,Software - Infrastructure,United States,ソフトウェア,17.8799991607666,6.10569984,116.52806693052293,0.21889901042167553,0.3224755857645608,0.4713048256782076,0.741153805436652,3.0,0.0061527368420189145,71.73250059350974,0.08952636214816108,0.09605669665935324,True,39,31,97,85,50,B,0,47.0,41.0,84.6,84.6,Persistence
