portfolio_rank,rank,ticker,name,sector,industry,country,theme,price,market_cap_bil,dollar_volume_mil,revenue_growth_1y,revenue_growth_2y,revenue_growth_3y,gross_margin,fcf_growth,debt_ratio,rsi,gap50,dist_high,above200,acceleration_score,transition_score,persistence_score,upside_score,entry_score,entry_grade,risk_penalty,acceleration_final,transition_final,persistence_final,total_score,best_type
1,1,ZETA,Zeta Global Holdings Corp. Class A Common Stock,Technology,Software - Infrastructure,United States,ソフトウェア,20.209999084472656,5.03749632,198.04222722854615,0.2972038888237084,0.3801595393585766,0.2331152140327365,0.6063465954557021,0.791582513518796,0.13108071437502827,55.70738876890445,0.09322423193777038,0.19960399665454825,True,36,49,97,85,85,S,0,48.25,58.0,91.6,91.6,Persistence
2,2,BRZE,"Braze, Inc. - Class A Common Stock",Technology,Software - Application,United States,ソフトウェア,21.65999984741211,2.43960192,74.13243247776032,0.24396622908275897,0.25775752437473504,0.3274211790921317,0.6714563617102557,1.9581295843520783,0.07421187925193737,41.051229503775936,-0.04372972701578077,0.4014921064012815,False,33,17,97,100,65,A,0,46.25,34.25,91.35,91.35,Persistence
3,3,RELY,"Remitly Global, Inc. - Common stock",Technology,Software - Infrastructure,United States,ソフトウェア,19.079999923706055,4.01750528,76.58807369375229,0.29366682410798417,0.33853974170933565,0.4448329151110839,0.6020504578487439,2.0168274863143543,0.13170651115058274,31.617644996378843,-0.06610673186272656,0.21416806490452692,True,39,66,97,85,80,S,0,50.0,70.25,90.6,90.6,Persistence
4,1,LB,LandBridge Company LLC Class A Shares Representing Limited Liability Company Interests,Energy,Oil & Gas Equipment & Services,United States,電力/エネルギー,69.29000091552734,5.336508416,25.59191538814545,0.8106935627626098,0.5090098126672614,0.4072850879734245,0.9322125840687517,0.8309852815411621,0.41014790023249414,36.248529704410814,0.00023269616149568763,0.18612806656666947,True,86,64,82,85,90,S,0,86.25,69.75,84.35,86.25,Acceleration
5,1,CNX,CNX Resources Corporation Common Stock,Energy,Oil & Gas E&P,United States,電力/エネルギー,33.150001525878906,4.689982464,51.06393085044861,0.48866481238417975,-0.044549676823147644,-0.6162289496064445,0.47234760951479904,0.9385544224478757,0.28642239450319457,32.85714199213204,-0.09432658948738534,0.22201358716184738,False,71,85,34,85,70,A,0,73.0,83.5,53.95,83.5,Transition
6,2,TE,T1 Energy Inc. Common Stock,Industrials,Electrical Equipment & Parts,United States,電力/エネルギー,8.5,2.373806848,440.42512,3.0,,,0.0735884654340357,1.1084563968056649,0.39983951700595,52.00764854092845,0.26056650860765423,0.29401993131802306,True,47,83,26,100,53,B,0,55.55,82.55,49.9,82.55,Transition
7,3,LASR,"nLIGHT, Inc. - Common Stock",Technology,Semiconductors,United States,半導体,69.66000366210938,3.929430784,76.65978913009644,0.3162056530410782,-0.05417752392566728,-0.13276570078245709,0.29833161137259406,2.1950247789330484,0.1148662796231084,39.75792960270679,-0.018382384957026633,0.1799881558023905,True,66,81,30,85,90,S,0,71.25,82.5,55.75,82.5,Transition
8,2,FA,First Advantage Corporation - Common Stock,Industrials,Specialty Business Services,United States,その他,16.489999771118164,2.828645632,13.653719810485839,0.8302486035305537,0.12627510438474862,-0.057111958549325145,0.45673782019564413,3.0,0.544924333598866,60.985629862126416,0.17569887473937715,0.10380434168534365,True,82,75,38,100,50,B,0,81.5,76.25,55.900000000000006,81.5,Acceleration
9,3,DAVE,Dave Inc.  - Class A Common Stock,Technology,Software - Application,United States,ソフトウェア,286.7799987792969,3.646191616,182.12107212478637,0.5967165692816558,0.3395807682955541,0.2648678467862408,0.8668668415791202,1.4090920688921964,0.15429056784936132,69.79902179215989,0.15915386730216688,0.0,True,85,64,100,85,25,D,0,79.0,63.25,81.25,81.25,Persistence
10,4,AMBA,"Ambarella, Inc. - Ordinary Shares",Technology,Semiconductor Equipment & Materials,United States,半導体,67.77999877929688,2.973385472,123.52498097534179,0.3715338844715918,0.2578265054708267,-0.32917661415970095,0.5919242798859489,1.4730334683436368,0.016823190583521164,35.3403448808816,-0.021665415534142824,0.2903361191153673,False,74,68,46,100,63,B,0,76.8,72.3,62.9,76.8,Acceleration
