ticker,name,sector,industry,country,theme,price,market_cap_bil,dollar_volume_mil,revenue_growth_1y,revenue_growth_2y,revenue_growth_3y,gross_margin,fcf_growth,debt_ratio,rsi,gap50,dist_high,above200,acceleration_score,transition_score,persistence_score,upside_score,entry_score,entry_grade,risk_penalty,acceleration_final,transition_final,persistence_final,total_score,best_type
AAL,"American Airlines Group, Inc. - Common Stock",Industrials,Airlines,United States,その他,15.9399995803833,10.551799808,1600.8822919571542,0.007784398000405822,0.026956884140334925,0.07794408935900839,0.19166071788113412,-1.523076923076923,0.5970796775342377,55.813950264755626,0.01875164847797616,0.12176309006038046,True,0,0,14,65,100,S,0,19.75,19.75,43.95,43.95,Persistence
AAOI,"Applied Optoelectronics, Inc. - Common Stock",Technology,Communication Equipment,United States,通信/光通信,135.6300048828125,11.47012608,1483.7929315679933,0.8275018547109658,0.14573665493507806,-0.023211769246649732,0.300435579254578,-2.1202507096387455,0.2123220785623015,61.99691040737119,-0.018749569188721893,0.392066332710534,True,66,50,22,65,63,B,-10,55.55,43.55,30.950000000000003,55.55,Acceleration
AAON,"AAON, Inc. - Common Stock",Industrials,Building Products & Equipment,United States,その他,94.83000183105469,7.76768768,104.91280177574157,0.20109442086895685,0.027485241990281708,0.31473197207883097,0.26747827437666255,-1.4516879813806176,0.25178979075131486,40.39482717100448,-0.19049092100743906,0.35989168343556033,False,27,5,33,85,51,B,0,38.1,21.6,49.60000000000001,49.60000000000001,Persistence
AAPL,Apple Inc. - Common Stock,Technology,Consumer Electronics,United States,その他,313.3299865722656,4572.794322944,17651.800423083343,0.0642551178283274,0.020219940775141214,-0.028004605303199367,0.4690516410716045,-0.09227347505215656,0.2746262258483859,40.819699286119345,0.011442069823726576,0.07865796593800951,True,38,12,29,10,87,S,0,38.7,19.200000000000003,35.85000000000001,38.7,Acceleration
ABNB,"Airbnb, Inc. - Class A Common Stock",Consumer Cyclical,Travel Services,United States,その他,178.07000732421875,106.625769472,765.8657462509155,0.10259412718429112,0.11949178178884744,0.18073580188117633,0.8295890858589985,,0.09307456772334294,79.60678968238817,0.24082815029916027,0.0,True,20,2,55,25,10,D,0,19.75,6.25,38.5,38.5,Persistence
ACIW,"ACI Worldwide, Inc. - Common Stock",Technology,Software - Infrastructure,United States,ソフトウェア,53.66999816894531,5.418267648,61.99931353477478,0.10380433146332407,0.09755682823447125,0.02157534174320153,0.4899078408575608,-0.07720188589626295,0.273461652796686,39.84771223431151,0.0500181613335868,0.10817550852804791,True,43,14,41,85,75,A,0,52.5,30.75,58.8,58.8,Persistence
ACLS,"Axcelis Technologies, Inc. - Common Stock",Technology,Semiconductor Equipment & Materials,United States,半導体,140.27000427246094,4.331746304,62.94896981735229,-0.17567850353435868,-0.09971572716884072,0.2289200628697019,0.4491375940351446,-0.16812425662911915,0.03109337709378404,55.56710873606796,-0.07680052870113904,0.267901879936907,True,4,0,29,85,73,A,0,23.05,20.05,51.800000000000004,51.800000000000004,Persistence
ACMR,"ACM Research, Inc. - Class A Common Stock",Technology,Semiconductor Equipment & Materials,United States,半導体,83.80000305175781,5.79137536,86.3450091444397,0.15239516287823576,0.4023413056302143,0.43435468274216116,0.4438732998339082,-2.022224895491865,0.1037217310166302,50.93240571266545,-0.08438712847983623,0.3395854405008837,True,9,2,69,85,73,A,-10,16.8,11.55,63.80000000000001,63.80000000000001,Persistence
ACT,"Enact Holdings, Inc. - Common Stock",Financial Services,Insurance - Specialty,United States,その他,48.959999084472656,6.7312,20.273846020889284,0.02833561052244432,0.04168205213550307,0.05371673244294087,,,0.10799806657492762,69.79969599968025,0.09438633241653,0.0,True,0,0,22,85,40,C,-20,0.0,0.0,21.35,21.35,Persistence
ADBE,Adobe Inc. - Common Stock,Technology,Software - Application,United States,ソフトウェア,265.2099914550781,105.420972032,1460.2249961523437,0.10527784236224134,0.10799113813179453,0.10240826990798592,0.8926753334174765,0.25136542613997204,0.22538649308380798,64.28235984107513,0.15414773547764596,0.27826158596234557,False,25,26,75,25,23,D,0,24.8,25.55,52.1,52.1,Persistence
ADEA,Adeia Inc.  - Common Stock,Technology,Software - Application,United States,ソフトウェア,28.209999084472656,3.113208576,36.455639356368636,0.179142820671021,-0.032830231385742356,-0.11424294824039204,,-0.2147304431963989,0.41156813749214616,55.63063116277182,-0.03225366328101939,0.1596012587999398,True,41,28,17,85,100,S,0,53.5,43.75,50.6,53.5,Acceleration
ADP,"Automatic Data Processing, Inc. - Common Stock",Technology,Software - Application,United States,ソフトウェア,271.32000732421875,107.785330688,695.8015153829956,0.06743381855852613,0.07073521293991439,0.06608853998956263,0.46416432014726117,0.08728117103376055,0.08340757643610952,62.32372814004405,0.12971633893603565,0.09762816423657154,True,10,24,50,25,50,B,0,16.25,26.75,43.75,43.75,Persistence
ADSK,"Autodesk, Inc. - Common Stock",Technology,Software - Application,United States,ソフトウェア,249.0800018310547,52.592058368,542.2347099861145,0.17533844397325068,0.11533563762052028,0.0983016983016983,0.9097973910630031,0.5787375415282392,0.21929894922595652,69.07782055830259,0.1533895118439274,0.23779798856116147,False,62,26,65,40,40,C,0,56.5,29.5,53.75,56.5,Acceleration
AEHR,Aehr Test Systems - Common Stock,Technology,Semiconductor Equipment & Materials,United States,半導体,103.06999969482422,3.362189824,351.2156621100998,-0.15206552706552706,-0.10948684647678879,0.019350071581410385,0.3530129397412052,0.566171723692705,0.04005772333336036,60.961881331601475,0.1263889934853191,0.11588610331134565,True,13,12,14,85,50,B,-10,17.5,16.75,28.950000000000003,28.950000000000003,Persistence
AEIS,"Advanced Energy Industries, Inc. - Common Stock",Industrials,Electrical Equipment & Parts,United States,電力/エネルギー,325.0199890136719,13.017193472,243.05482308425903,0.21376518218623483,-0.10496436767725571,-0.10275264952948432,0.37658438959306206,0.7013513513513514,0.2667138031267185,60.612581831151246,0.01821454537770361,0.16432224782987923,True,46,36,30,65,80,S,0,52.25,44.75,48.75,52.25,Acceleration
AEP,"American Electric Power Company, Inc. - Common Stock",Utilities,Utilities - Regulated Electric,United States,電力/エネルギー,125.7300033569336,68.447084544,513.3021684549332,0.10927437756706049,0.038931619428932675,-0.033478449044018435,0.6100749680014628,-0.6949327817993796,0.43253538354010135,34.817362783124594,-0.0424583750450091,0.09344580616002221,True,50,14,14,40,90,S,0,52.5,25.5,35.7,52.5,Acceleration
AEVA,"Aeva Technologies, Inc. - Common Stock",Technology,Software - Infrastructure,United States,ソフトウェア,26.6200008392334,1.85556736,48.84357543986321,0.9943739658025372,1.1022727272727273,0.02862595419847328,-0.036506443940483434,-0.06843420817711122,0.5698020600887029,75.37878976024754,0.22749745678053757,0.09115739135666988,True,32,58,22,100,35,C,-15,27.5,47.0,29.1,47.0,Transition
AFRM,"Affirm Holdings, Inc. - Class A Common Stock",Financial Services,Credit Services,United States,その他,75.25,25.201117184,254.04738625,0.38803847956886767,0.46285953582684974,0.1769024051132001,0.6751122375180343,1.0688896376726882,0.7040211551324083,49.864917588686936,0.003902208187639854,0.18366240235546175,True,48,85,87,65,100,S,-30,25.75,53.5,54.099999999999994,54.099999999999994,Persistence
AGYS,"Agilysys, Inc. - Common Stock",Technology,Software - Application,United States,ソフトウェア,108.58000183105469,3.062584576,32.74012795211792,0.1585057904971991,0.16069804265067547,0.19891954661348546,0.6261055018289322,0.30191995415034867,0.03954910202521972,52.33360777281984,0.08932725717682054,0.2305838606294683,True,28,33,87,85,85,S,0,42.25,46.0,86.1,86.1,Persistence
AIP,"Arteris, Inc.  - Common Stock",Technology,Semiconductors,United States,半導体,29.780000686645508,1.375001728,19.828715657196046,0.22269766474949762,0.07561584615957963,0.06526658462027075,0.9023080519701328,3.0,0.05187297337239527,47.7087592049699,-0.16853265573884058,0.38711667847032444,True,72,44,65,100,61,B,-5,70.1,49.1,67.95,70.1,Acceleration
